,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,5,オメガパフューム,牡5,59,北村友一,1:56.0,,5.3,3,460(+9),[西] 安田翔伍
1,2,7,11,ヴェンジェンス,牡7,57,幸英明,1:56.2,1.1/4,8.6,5,496(0),[西] 大根田裕
2,3,5,7,ゴールドドリーム,牡7,58,藤岡佑介,1:56.5,2,4.3,2,530(0),[西] 平田修
3,4,3,3,ヒストリーメイカー,牡6,56,畑端省吾,1:56.8,1.1/2,64.2,10,526(-20),[西] 新谷功一
4,5,6,10,スワーヴアラミス,牡5,57,松田大作,1:56.9,1/2,5.4,4,488(0),[西] 須貝尚介
5,6,7,12,マグナレガーロ,牡5,56,北村宏司,1:57.0,1/2,12.0,6,498(+4),[西] 角居勝彦
6,7,8,14,ダンツゴウユウ,牡6,56,酒井学,1:57.0,ハナ,59.7,9,472(+4),[西] 谷潔
7,8,1,1,アシャカトブ,牡4,56,武藤雅,1:57.2,1.1/2,58.5,8,500(-2),[東] 小笠倫弘
8,9,4,6,ヒロブレイブ,牡7,56,国分恭介,1:57.3,クビ,364.1,14,486(0),[西] 川村禎彦
9,10,2,2,ロードレガリス,牡5,56,池添謙一,1:57.4,1/2,3.0,1,526(+6),[西] 野中賢二
10,11,6,9,ミツバ,牡8,58,松若風馬,1:57.7,1.3/4,176.4,13,484(+10),[西] 加用正
11,12,3,4,ハヤヤッコ,牡4,57,斎藤新,1:57.8,1/2,76.0,11,474(-6),[東] 国枝栄
12,13,8,13,アッシェンプッテル,牝4,54,太宰啓介,1:58.3,3,168.3,12,512(0),[西] 奥村豊
13,14,5,8,スマハマ,牡5,56,坂井瑠星,2:01.5,大,23.1,7,524(-10),[西] 中内田充
