,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,10,ペプチドナイル,牡5,57,富田暁,1:43.1,,4.5,3,536(+6),[西] 武英智
1,2,4,5,セキフウ,牡4,59,藤岡佑介,1:43.6,3,23.7,8,490(+4),[西] 武幸四郎
2,3,7,11,メイショウユズルハ,牡4,57,岩田康誠,1:43.7,クビ,5.8,4,494(+2),[西] 岡田稲男
3,4,5,6,オディロン,牡4,57,古川吉洋,1:43.8,1/2,29.8,10,488(+2),[西] 浜田多実
4,5,4,4,ディアセオリー,牡6,57,丹内祐次,1:43.9,1/2,22.5,7,496(-2),[東] 高木登
5,6,8,13,キタノリューオー,牡5,57,丸山元気,1:44.2,2,59.1,11,466(-8),[東] 萱野浩二
6,7,3,3,ハセドン,牡4,58,横山和生,1:44.7,3,3.8,1,478(+6),[西] 安田翔伍
7,8,2,2,ブラッティーキッド,牡5,57,水口優也,1:44.8,1/2,6.8,5,520(+16),[西] 中尾秀正
8,9,6,8,ボイラーハウス,牡5,57,秋山真一,1:44.9,1/2,29.5,9,514(+16),[東] 竹内正洋
9,10,1,1,ダノンファスト,牡6,58,菊沢一樹,1:44.9,クビ,21.0,6,474(+8),[東] 菊沢隆徳
10,11,8,12,アドマイヤルプス,セ6,58,内田博幸,1:45.0,クビ,4.5,2,552(+4),[東] 加藤征弘
11,12,5,7,イバル,牡6,57,小崎綾也,1:45.3,2,143.3,13,526(+14),[西] 小崎憲
12,13,6,9,アオイクレアトール,牡6,57,佐々木大,1:46.2,5,82.1,12,502(+8),[東] 古賀慎明
