,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,4,ケイアイレオーネ,牡2,55,幸英明,1:25.5,,8.0,3,544(+8),[西] 西浦勝一
1,2,1,1,ティズトレメンダス,牝2,54,藤岡佑介,1:25.7,1,1.8,1,496(-8),[西] 佐山優
2,3,7,10,シゲルアンドロメダ,牝2,54,国分優作,1:26.7,6,19.7,7,472(-2),[西] 坂口正則
3,4,5,6,エーシンエポナ,牝2,54,Ｍ．デム,1:27.3,3.1/2,9.0,4,490(+2),[西] 沖芳夫
4,5,3,3,クラウンボースロン,牡2,55,川須栄彦,1:27.3,クビ,193.9,11,446(-4),[西] 大根田裕
5,6,8,11,セトノプロミス,牡2,55,和田竜二,1:27.4,クビ,17.9,6,464(+4),[西] 鈴木孝志
6,7,6,8,ホッコージョイフル,牡2,55,飯田祐史,1:27.4,クビ,57.9,9,470(-6),[西] 飯田明弘
7,8,5,5,ロイヤルレイド,牡2,55,渡辺薫彦,1:27.5,クビ,32.5,8,470(0),[西] 柴田政見
8,9,2,2,クリノコトノオー,牡2,55,国分恭介,1:27.6,1/2,4.8,2,466(+2),[西] 谷潔
9,10,6,7,ハーフウェイ,牡2,55,酒井学,1:28.2,3.1/2,276.7,12,418(+4),[西] 新川恵
10,11,8,12,オリエンタルサン,牡2,55,小牧太,1:28.4,1.1/4,15.0,5,468(+8),[西] 新川恵
11,12,7,9,ドリームクラーク,牡2,55,熊沢重文,1:28.5,3/4,100.7,10,502(-10),[西] 飯田雄三
