,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,サクラゴスペル,牡4,57.5,横山典弘,1:20.6,,6.0,2,488(+4),[東] 尾関知人
1,2,8,11,プリンセスメモリー,牝5,54.0,北村宏司,1:21.0,2.1/2,17.7,7,414(+6),[東] 高橋義博
2,3,3,3,マイネルロガール,牡4,57.0,松岡正海,1:21.0,ハナ,24.9,8,494(+4),[東] 武市康男
3,4,4,4,メジャーアスリート,牡3,54.0,浜中俊,1:21.0,ハナ,32.9,10,502(+2),[東] 高木登
4,5,7,9,プランスデトワール,牡4,56.0,内田博幸,1:21.2,1,2.6,1,482(+6),[東] 藤沢和雄
5,6,6,7,トゥザサミット,牡5,55.0,柴田善臣,1:21.3,3/4,27.6,9,456(+8),[東] 松山康久
6,7,1,1,クレバーサンデー,牡5,55.0,三浦皇成,1:21.3,ハナ,16.2,6,474(-4),[西] 崎山博樹
7,8,6,8,シルクドリーマー,牡3,55.0,田中勝春,1:21.4,1/2,6.3,4,470(+10),[西] 音無秀孝
8,9,8,12,サザンスターディ,牡6,54.0,武士沢友,1:21.4,クビ,61.6,11,528(+4),[東] 高橋祥泰
9,10,7,10,ゴーハンティング,牡4,57.0,石橋脩,1:21.5,3/4,6.2,3,502(+4),[東] 堀宣行
10,11,5,6,ターニングポイント,セ7,54.0,丸山元気,1:21.7,1.1/4,74.6,12,468(+2),[東] 和田正道
11,12,2,2,エネアド,牡3,55.0,蛯名正義,1:22.2,3,8.1,5,444(+2),[東] 戸田博文
