,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,2,ローマンレジェンド,牡4,57,岩田康誠,1:49.6,,1.4,1,506(+2),[西] 藤原英昭
1,2,4,8,ニホンピロアワーズ,牡5,58,酒井学,1:49.6,クビ,12.3,3,536(+11),[西] 大橋勇樹
2,3,3,6,ホッコータルマエ,牡3,55,幸英明,1:49.7,クビ,18.9,5,490(-6),[西] 西浦勝一
3,4,2,3,タガノロックオン,牡4,56,川田将雅,1:49.8,3/4,122.2,11,514(0),[西] 松田博資
4,5,2,4,グラッツィア,牡4,56,和田竜二,1:49.9,3/4,122.3,12,488(+4),[西] 角居勝彦
5,6,7,13,グレープブランデー,牡4,58,Ｍ．デム,1:50.0,1/2,15.9,4,528(+4),[西] 安田隆行
6,7,5,9,フサイチセブン,牡6,57,福永祐一,1:50.4,2.1/2,48.9,8,492(+2),[西] 松田国英
7,8,6,12,ナイスミーチュー,牡5,57,藤田伸二,1:50.9,3,23.1,6,504(+2),[西] 橋口弘次
8,9,4,7,リバティバランス,牡5,56,秋山真一,1:51.0,クビ,401.3,15,550(-4),[東] 堀宣行
9,10,7,14,ハタノヴァンクール,牡3,57,四位洋文,1:51.1,1/2,5.6,2,498(+5),[西] 昆貢
10,11,8,16,ファリダット,牡7,56,佐藤哲三,1:51.3,1.1/2,38.8,7,482(-2),[西] 松元茂樹
11,12,3,5,メダリアビート,牡6,56,太宰啓介,1:51.4,1/2,552.4,16,476(+6),[西] 岡田稲男
12,13,5,10,オースミイチバン,牡3,56,川島信二,1:51.4,アタマ,65.4,10,502(-2),[西] 荒川義之
13,14,1,1,サンライズモール,牡5,56,川須栄彦,1:51.6,1.1/4,138.4,13,480(-4),[西] 石坂正
14,15,8,15,メイショウエバモア,牡5,56,池添謙一,1:52.1,3,235.0,14,530(+4),[西] 池添兼雄
15,16,6,11,ヒラボクキング,牡5,57,藤岡佑介,1:52.6,3,55.8,9,522(-16),[西] 大久保龍
