,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,9,ソリタリーキング,牡3,54,和田竜二,1:52.4,,2.3,1,454(-2),[西] 石坂正
1,2,3,6,ポイマンドレース,牡4,57,岩田康誠,1:52.4,クビ,4.7,3,508(-6),[西] 友道康夫
2,3,8,15,メガロスバンダム,牡5,57,北村友一,1:52.7,1.3/4,12.1,4,514(0),[西] 柴田政見
3,4,1,2,トーセンスターン,牡5,57,浜中俊,1:53.1,2.1/2,18.1,5,466(+6),[西] 大久保龍
4,5,2,4,シルクターンベリー,牡3,54,松田大作,1:53.2,3/4,21.0,7,478(+2),[西] 松永幹夫
5,6,4,7,スエズ,セ5,57,小牧太,1:53.4,1.1/2,24.2,8,510(-4),[西] 吉田直弘
6,7,8,16,ブイコナン,牡3,54,安藤光彰,1:53.6,1.1/4,75.2,10,476(+2),[西] 福島信晴
7,8,1,1,ナリタスプリング,牡3,54,福永祐一,1:53.8,1.1/4,4.0,2,476(0),[西] 宮本博
8,9,7,13,アグネスミヌエット,牝5,55,高田潤,1:54.0,1.1/4,228.6,15,432(0),[西] 小崎憲
9,10,5,10,リバーキャッスル,牝5,55,赤木高太,1:54.1,1/2,146.6,13,426(-8),[西] 作田誠二
10,11,6,12,バアゼルリバー,牡4,57,鮫島良太,1:54.1,ハナ,54.3,9,478(+18),[西] 松田博資
11,12,3,5,キャトルキャール,牝5,55,太宰啓介,1:54.2,クビ,243.0,16,446(+2),[西] 村山明
12,13,4,8,マイネルトラヴェル,牡7,57,渡辺薫彦,1:54.2,アタマ,218.6,14,480(-6),[西] 柴田光陽
13,14,7,14,バトルブリンディス,牡5,57,川島信二,1:54.4,1.1/4,96.3,12,472(+8),[西] 矢作芳人
14,15,6,11,クリストフォルス,牡5,57,川田将雅,1:55.5,7,20.0,6,538(+2),[西] 角居勝彦
15,中,2,3,ローレルレヴァータ,セ3,54,松山弘平,,,80.5,11,460(0),[西] 加用正
