,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,8,リーチアディール,牡5,57,増田充宏,2:14.3,,1.7,1,535(-4),[地] 加藤誠一
1,2,4,4,ギンザロッソ,セ6,57,御神本訓,2:15.0,3,10.9,4,452(+2),[地] 佐々木仁
2,3,2,2,ファイナルマズル,牡7,57,笹川翼,2:15.0,アタマ,11.9,5,480(+1),[地] 川島正一
3,4,3,3,トップザビル,牝5,55,森泰斗,2:15.1,クビ,5.7,2,447(+7),[地] 山崎裕也
4,5,6,6,ベルゼール,牝5,55,矢野貴之,2:15.5,2,8.5,3,448(+1),[地] 藤田輝信
5,6,8,10,エラボレート,牡6,54,菅原涼太,2:15.9,2,73.7,10,458(-3),[地] 林隆之
6,7,6,7,デルマアズラエル,牡4,57,達城龍次,2:16.2,1.1/2,14.5,6,522(-1),[地] 鈴木啓之
7,8,1,1,ミッキーハッスル,セ6,55,張田昂,2:16.4,1,18.6,7,448(-7),[地] 林隆之
8,9,7,9,キャッスルブレイヴ,牡4,57,仲野光馬,2:18.2,9,25.8,9,483(-4),[地] 渋谷信博
9,10,8,11,レディオガガ,牝4,54,野畑凌,2:18.5,1.1/2,24.9,8,489(-7),[地] 高月賢一
10,11,5,5,スズカパンサー,牡6,57,櫻井光輔,2:19.2,3,150.7,11,491(+2),[地] 河津裕昭
