,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,6,トウショウプライド,牡6,56,吉田晃浩,1:52.8,,4.8,3,512(0),[地] 佐藤茂
1,2,5,5,ジャングルスマイル,牡10,57,平瀬城久,1:52.9,1/2,2.7,1,482(-8),[地] 金田一昌
2,3,3,3,フランチャイズ,牡7,56,畑中信司,1:52.9,ハナ,6.4,4,522(-2),[地] 金田一昌
3,4,2,2,ジャックポット,牡5,56,田知弘久,1:53.8,4,4.3,2,484(0),[地] 金田一昌
4,5,8,10,ビービーガザリアス,牡9,56,葛山晃平,1:53.8,クビ,10.7,6,510(-7),[地] 金田一昌
5,6,7,8,タツミリュウ,牡8,56,米倉知,1:53.9,1/2,16.1,7,487(-6),[地] 加藤和義
6,7,8,9,ショウナンバスター,牡5,56,桑野等,1:55.1,6,8.7,5,427(-1),[地] 中川雅之
7,8,1,1,ヤマノミラクル,牡5,56,青柳正義,1:55.1,ハナ,132.4,9,458(-8),[地] 中川雅之
8,9,4,4,エムティサラ,牝4,54,池田敦,1:55.2,クビ,184.1,10,479(-3),[地] 鈴木正也
9,10,7,7,プラチナタイム,牡10,56,藤田弘治,1:58.1,大,53.5,8,469(-1),[地] 鈴木長次
