,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,6,クリノスターオー,牡3,55,幸英明,1:50.2,,5.7,3,534(+2),[西] 高橋義忠
1,2,3,3,マーベラスバロン,牡5,57,高倉稜,1:50.2,ハナ,17.1,7,500(+2),[西] 柴田政見
2,3,5,5,メイショウコロンボ,牡4,57,武幸四郎,1:50.2,クビ,3.6,2,490(+12),[西] 角田晃一
3,4,7,8,ワンダーアシャード,牡4,57,武豊,1:50.8,3.1/2,7.2,5,528(0),[西] 笹田和秀
4,5,4,4,ツルマルスピリット,牡6,57,小牧太,1:51.0,3/4,3.1,1,504(+6),[西] 橋口弘次
5,6,6,7,グレートチャールズ,牡4,57,ムーア,1:51.8,5,7.1,4,516(+2),[西] 吉田直弘
6,7,8,10,シンケンショウブ,牡5,57,和田竜二,1:51.9,クビ,177.6,10,496(0),[西] 田中章博
7,8,2,2,フォルクスオーパー,牝7,52,森一馬,1:52.0,3/4,138.9,9,488(-2),[西] 木原一良
8,9,7,9,ニライジンク,牡4,54,岩崎翼,1:52.2,1.1/2,105.0,8,494(-3),[西] 池添兼雄
9,10,8,11,ナンヨーカノン,牝3,53,Ｍ．デム,1:52.4,1.1/4,8.9,6,460(+2),[西] 領家政蔵
10,11,1,1,スプリングゲント,牡13,57,白浜雄造,1:55.7,大,207.5,11,534(+8),[西] 野村彰彦
