,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,7,コロニアルペガサス,牝3,54,川原正一,1:32.7,,2.8,1.0,469(+4),[地] 山中輝久
1,2,4,4,リオブランコ,牝3,54,永島太郎,1:33.2,3,12.7,5.0,470(+2),[地] 大石省三
2,3,5,5,ジェイドペスカ,牝3,54,松平幸秀,1:33.4,1.1/4,27.8,8.0,420(+2),[地] 橋本忠男
3,4,2,2,トキノナイス,牝3,54,木村健,1:33.4,クビ,3.6,2.0,418(0),[地] 田中範雄
4,5,8,10,ラッキーガーデン,牝3,54,田中学,1:33.5,クビ,3.7,3.0,422(+1),[地] 森沢友貴
5,6,1,1,アスカタン,牝3,54,下原理,1:34.0,3,12.8,6.0,434(+3),[地] 重畠勝利
6,7,7,9,イルドレ,牝3,54,坂本和也,1:34.6,4,29.8,9.0,461(-4),[地] 野田学
7,8,6,6,プリモアルテマ,牝3,54,中越豊光,1:35.1,3,118.3,10.0,447(+1),[地] 山中輝久
8,9,3,3,サイバーモール,牝3,54,吉村智洋,1:35.3,1,18.9,7.0,463(-5),[地] 橋本忠男
9,中,7,8,エレーヌ,牝3,54,筒井勇介,,,6.5,4.0,437(-1),[地] 山中輝久
10,取,8,11,アートオブビーン,牝3,54,北野真弘,,,---,,計不,[地] 野田学
