,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,9,ケイアイレオーネ,牡7,58,的場文男,1:41.3,,1.9,1.0,572(-2),[地] 佐宗応和
1,2,8,14,トーセンハルカゼ,牡7,57,岡部誠,1:41.5,3/4,17.4,7.0,494(-13),[地] 小久保智
2,3,7,11,ムサシキングオー,牡8,57,和田譲治,1:41.8,1.1/2,8.7,3.0,494(0),[地] 栗田泰昌
3,4,1,1,ミッキーヘネシー,牡8,56,瀧川寿希,1:41.8,ハナ,23.1,8.0,469(-10),[地] 別府真司
4,5,5,7,リアライズリンクス,牡7,57,左海誠二,1:42.2,2,4.2,2.0,503(-8),[地] 小久保智
5,6,7,12,グレナディアーズ,牡6,57,吉原寛人,1:42.4,1,13.6,5.0,501(+4),[地] 出川克己
6,7,2,2,インフォーマー,牡6,56,張田昂,1:42.9,2.1/2,41.5,10.0,522(+3),[地] 深野塁
7,8,6,10,コンドルダンス,牡5,56,柏木健宏,1:42.9,ハナ,11.9,4.0,480(-2),[地] 斉藤敏
8,9,3,3,コスモパープル,牝5,54,桜井光輔,1:43.4,2.1/2,38.5,9.0,493(-9),[地] 平山真希
9,10,4,6,グランフィデリオ,牡6,56,本田正重,1:43.4,クビ,64.8,11.0,434(-7),[地] 渡辺貴光
10,11,8,13,トキノベラトリクス,牝5,54,森島貴之,1:47.2,大,113.4,12.0,455(+8),[地] 湯前良人
11,除,3,4,イッツガナハプン,牡8,56,赤岡修次,,,---,,計不,[地] 田中守
12,中,4,5,オーラゼウス,牡5,56,山崎誠士,,,15.4,6.0,467(+1),[地] 八木仁
13,取,5,8,タマノブリュネット,牝5,55,矢野貴之,,,---,,計不,[地] 藤田輝信
