,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,9,マイネルロッシュ,牡7,57,和田譲治,1:54.0,,5.9,3,477(-3),[地] 宗形竹見
1,2,6,7,イルヴェント,牡4,57,的場文男,1:54.4,2,2.5,1,536(+6),[地] 荒井朋弘
2,3,7,8,キラカイドウ,セ5,57,本橋孝太,1:54.8,2,20.0,6,411(+1),[地] 上杉昌宏
3,4,6,6,エイノスケ,牡5,57,吉井章,1:55.0,1,42.7,9,501(+4),[地] 大宮和也
4,5,2,2,スミソニアン,牡5,57,安藤洋一,1:55.2,1.1/4,14.0,5,437(+1),[地] 宗形竹見
5,6,8,11,フォルデュラン,牡7,54,谷内貫太,1:55.2,クビ,41.8,8,492(-9),[地] 市村誠
6,7,5,5,ベイズンストリート,セ7,57,藤田凌,1:55.3,クビ,28.0,7,553(+6),[地] 辻野豊
7,8,4,4,リュミエール,セ5,57,森泰斗,1:55.6,1.1/2,2.8,2,483(+1),[地] 福永敏
8,9,1,1,ミリミリ,牝6,53,石川駿介,1:57.3,8,171.8,11,494(-1),[地] 小野寺晋
9,10,3,3,シーニッククルーズ,牡5,54,木間塚龍,1:57.8,2.1/2,65.1,10,510(-4),[地] 大宮和也
10,11,8,10,ブライトフラッグ,牡5,57,本田正重,1:58.6,4,9.0,4,507(+2),[地] 藤田輝信
