,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,ホッコータルマエ,牡6,57,幸英明,2:02.7,,1.5,1,502(0),[西] 西浦勝一
1,2,5,5,クリソライト,牡5,57,武豊,2:02.9,3/4,8.0,4,493(+1),[西] 音無秀孝
2,3,7,9,ハッピースプリント,牡4,57,宮崎光行,2:03.4,2.1/2,19.2,5,524(-1),[地] 森下淳平
3,4,6,7,ユーロビート,セ6,57,吉原寛人,2:04.3,4,148.2,7,548(0),[地] 渡辺和雄
4,5,7,10,ニホンピロアワーズ,牡8,57,酒井学,2:04.4,1/2,52.0,6,520(-2),[西] 大橋勇樹
5,6,6,8,クリノスターオー,牡5,57,岩田康誠,2:04.6,3/4,4.4,2,542(-2),[西] 高橋義忠
6,7,2,2,トーセンアレス,牡8,57,今野忠成,2:04.8,1,313.2,9,474(-2),[地] 小久保智
7,8,5,6,ワンダーアキュート,牡9,57,和田竜二,2:05.0,1,6.8,3,507(-1),[西] 佐藤正雄
8,9,4,4,ジョーメテオ,牡9,57,的場文男,2:05.3,1.1/2,249.8,8,516(+1),[地] 小久保智
9,10,8,12,サイモンロード,セ7,57,丸野勝虎,2:05.9,3,392.3,11,514(-8),[地] 角田輝也
10,11,8,11,タッチデュール,牝6,55,佐藤友則,2:07.6,8,420.5,12,422(-9),[地] 山中輝久
11,12,3,3,リワードレブロン,牡7,57,永森大智,2:09.3,8,348.4,10,485(+3),[地] 雑賀正光
