,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,6,デルマルーヴル,牡7,56,井上瑛太,1:29.2,,1.2,1,492(-6),[地] 打越勇児
1,2,8,11,ホワイトレッグス,牡4,56,木村直輝,1:29.5,1.1/2,23.7,6,421(+2),[地] 胡本友晴
2,3,5,5,ツクバクロオー,牡8,55,宮川実,1:30.5,5,6.4,2,447(0),[地] 宮川真衣
3,4,1,1,ブレイヴルーラー,牡4,56,村上弘樹,1:31.3,4,18.5,4,505(-1),[地] 宮路洋一
4,5,6,7,バルンストック,セ6,56,林謙佑,1:31.4,クビ,17.6,3,493(+7),[地] 田中譲二
5,6,4,4,ジェネラルエリア,牝6,50,所蛍,1:31.6,1,147.3,9,477(-1),[地] 宮川浩一
6,7,2,2,フィアレスハート,セ6,55,赤岡修次,1:31.8,1,25.1,7,500(+4),[地] 工藤真司
7,8,8,12,ヴィオマージュ,牡5,56,山崎雅由,1:32.5,3,53.6,8,504(+6),[地] 田中譲二
8,9,7,10,コスモザウル,牡5,55,畑中信司,1:32.7,1,287.1,10,488(+4),[地] 細川忠義
9,10,7,9,エイシンレーザー,牡8,56,石本純也,1:32.9,1,345.7,11,488(+4),[地] 田中伸一
10,11,3,3,ラデツキー,牡7,55,大澤誠志,1:33.9,5,434.3,12,494(+9),[地] 宗石大
11,12,6,8,エコロドラゴン,牡4,56,岡村卓弥,1:39.7,大,23.5,5,558(-5),[地] 雑賀正光
