,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,マヤノセイリュウ,牝2,53,秋山真一,0:57.7,,25.2,7,434(0),[西] 梅内忍
1,2,3,6,ブルーコンコルド,牡2,53,池添謙一,0:57.8,1/2,2.1,1,488(0),[西] 服部利之
2,3,8,16,ライブリサクセス,牡2,50,小坂忠士,0:58.0,1.1/4,24.2,5,418(0),[西] 湯窪幸雄
3,4,4,7,タガノリファール,牡2,53,小池隆生,0:58.2,1.1/4,4.1,2,464(0),[西] 柴田光陽
4,5,2,4,ミヤジダケ,牡2,53,福永祐一,0:58.3,3/4,5.7,3,518(0),[西] 北橋修二
5,6,2,3,メイプルロード,牝2,53,芹沢純一,0:58.4,1/2,35.1,8,440(0),[西] 田所秀孝
6,7,7,14,クリノレディスルガ,牝2,53,高橋亮,0:58.7,2,52.3,9,396(0),[西] 橋口弘次
7,8,8,15,マコトカイウン,牡2,53,太宰啓介,0:58.9,1,7.8,4,462(0),[西] 鹿戸明
8,9,5,10,シンコペーション,牝2,53,和田竜二,0:58.9,ハナ,24.4,6,436(0),[東] 本間忍
9,10,6,11,アンバサダーシチー,牡2,53,河内洋,0:59.0,1/2,71.4,10,450(0),[西] 田中耕太
10,11,5,9,オグリチーフ,牡2,50,高野容輔,0:59.6,3.1/2,106.7,14,430(0),[西] 瀬戸口勉
11,12,6,12,エイシンヤング,牡2,53,野元昭嘉,0:59.9,2,106.1,13,488(0),[西] 野元昭
12,13,4,8,ホシコマンダー,牡2,53,佐藤哲三,1:00.0,3/4,104.2,12,444(0),[西] 増本豊
13,14,7,13,カネトシカイゼル,牡2,53,田島裕和,1:00.3,2,113.8,15,452(0),[西] 藤沢則雄
14,15,1,2,ファイトオペラ,牡2,53,荻野要,1:01.0,4,103.0,11,452(0),[西] 昆貢
15,16,3,5,ベルウッドサミー,牡2,53,金折知則,1:02.6,10,201.9,16,432(0),[西] 南井克巳
