,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,9,キョウエイプライド,牡3,55,的場文男,1:53.3,,---,2,494(-2),[地] 阪本一栄
1,2,1,1,アイチャンルック,牝3,53,山田信大,1:53.6,1.1/2,---,7,437(+11),[地] 阪本一栄
2,3,2,2,アジュディミツオー,牡3,56,佐藤隆,1:53.6,クビ,---,1,512(+2),[地] 川島正行
3,4,8,13,ベルモントストーム,牡3,56,石崎隆之,1:53.8,1.1/2,---,3,480(-3),[地] 出川克己
4,5,7,10,サンキョウチャイナ,牡3,55,川本裕達,1:54.0,3/4,---,9,481(+7),[地] 高岩孝敏
5,6,6,8,モエレトレジャー,牡3,56,金子正彦,1:54.3,1.1/2,---,11,436(+4),[地] 足立勝久
6,7,5,6,フジエスミリオーネ,牡3,56,平沢則雄,1:54.5,1,---,10,445(-14),[地] 仁岸進
7,8,5,7,ハネダキャノン,牡3,55,酒井忍,1:54.5,アタマ,---,4,460(0),[地] 高岩孝敏
8,9,4,4,ステルスライン,牡3,55,桑島孝春,1:54.6,1/2,---,5,535(-3),[地] 高松弘之
9,10,8,12,ブルーローレンス,牡3,56,野崎武司,1:54.8,1,---,7,478(-2),[地] 足立勝久
10,11,4,5,ランノホシ,牡3,55,真島大輔,1:54.8,クビ,---,6,490(+4),[地] 高橋三郎
11,12,3,3,ニイタカレアル,牡3,55,宗形竹見,1:55.0,1,---,12,485(+2),[地] 朝倉実
12,除,7,11,シュルードパーソン,牡3,55,内田博幸,,,---,0,計不,[地] 松代真
