,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,13,コパノリッキー,牡7,57,田辺裕信,2:04.2,,4.7,3,539(-7),[西] 村山明
1,2,2,3,サウンドトゥルー,セ7,57,大野拓弥,2:04.8,3,4.0,2,479(+1),[東] 高木登
2,3,6,12,ケイティブレイブ,牡4,57,福永祐一,2:05.3,2.1/2,3.5,1,511(-1),[西] 目野哲也
3,4,3,5,アポロケンタッキー,牡5,57,内田博幸,2:05.5,1.1/4,12.6,6,572(+9),[西] 山内研二
4,5,8,15,ロンドンタウン,牡4,57,岩田康誠,2:05.6,1/2,22.9,8,512(-6),[西] 牧田和弥
5,6,1,1,ミツバ,牡5,57,Ｍ．デム,2:05.8,1.1/4,7.1,5,471(-1),[西] 加用正
6,7,5,10,インカンテーション,牡7,57,三浦皇成,2:05.9,1/2,5.9,4,507(+5),[西] 羽月友彦
7,8,4,8,ヒガシウィルウィン,牡3,55,森泰斗,2:06.0,3/4,17.6,7,469(-3),[地] 佐藤賢二
8,9,1,2,タービランス,牡4,57,吉原寛人,2:06.8,4,199.1,9,531(-11),[地] 若松平
9,10,2,4,サブノクロヒョウ,牡4,57,和田譲治,2:07.5,3.1/2,365.7,10,506(+7),[地] 阪本一栄
10,11,4,7,バルダッサーレ,牡4,57,赤岡修次,2:08.0,2.1/2,544.6,11,493(+9),[地] 中道啓二
11,12,8,16,セイファルコン,牡3,55,左海誠二,2:08.1,1/2,550.1,12,508(+9),[地] 八木正喜
12,13,5,9,サンドプラチナ,牡4,57,真島大輔,2:08.6,2.1/2,611.7,13,511(+3),[地] 市村誠
13,14,3,6,コスモカット,牡4,57,安藤洋一,2:09.8,6,731.5,15,488(+2),[地] 宗形竹見
14,15,6,11,シャドウパーティー,セ8,57,高松亮,2:09.9,1/2,700.4,14,497(+1),[地] 渡辺和雄
15,16,7,14,ハーキュリーズ,牡9,57,保園翔也,2:11.9,10,774.3,16,453(-9),[地] 山越光
