,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,バウチェイサー,牡3,56,笹田知宏,1:29.6,,1.3,1,499(+5),[地] 新子雅司
1,2,1,1,ニネンビーグミ,牝3,54,田中学,1:30.8,7,3.6,2,428(-7),[地] 松平幸秀
2,3,4,4,バーゲニングパワー,牡5,56,吉村智洋,1:31.2,2.1/2,14.6,4,448(-3),[地] 有馬澄男
3,4,3,3,インヴァネス,牝4,54,松木大地,1:31.3,1/2,12.6,3,458(-6),[地] 玉垣光章
4,5,7,8,キール,牝7,54,鴨宮祥行,1:32.3,6,31.8,6,498(-11),[地] 平松徳彦
5,6,8,10,アマネセール,セ6,56,大柿一真,1:32.4,クビ,18.0,5,492(+4),[地] 織田誠
6,7,7,7,モズフレミントン,牡8,56,井上幹太,1:32.6,3/4,92.6,7,463(+3),[地] 稻田彰宏
7,8,6,6,リリーマイスター,牡7,56,永井孝典,1:33.1,3,180.1,8,525(+2),[地] 石橋満
8,9,8,9,ウインウェルス,牡9,55,長尾翼玖,1:33.4,1.1/2,256.3,9,526(+4),[地] 栗林徹治
9,10,2,2,オーゴンノキズナ,牝4,54,松本幸祐,1:33.7,2,327.8,10,473(-7),[地] 尾原強
