,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,サトノタイガー,牡6,57,町田直希,1:38.4,,10.1,4,475(-4),[地] 小久保智
1,2,7,8,ソルテ,牡4,57,和田譲治,1:39.0,3,2.4,1,483(-2),[地] 寺田新太
2,3,2,2,ロンドンアイ,牡5,55,真島大輔,1:39.0,ハナ,5.8,3,537(+3),[地] 長谷川茂
3,4,8,10,スマートジョーカー,牡7,57,吉原寛人,1:39.6,3,2.9,2,477(-5),[地] 川島正一
4,5,3,3,ウインペンタゴン,牡8,55,佐藤博紀,1:39.9,1.1/2,152.9,10,496(+8),[地] 河津裕昭
5,6,5,5,サイレントスタメン,牡8,57,瀧川寿希,1:40.1,1.1/2,245.2,11,486(+8),[地] 田辺陽一
6,7,4,4,マズルブラスト,牡12,58,張田京,1:40.4,1.1/2,28.0,7,537(-4),[地] 川島正行
7,8,1,1,ブルロック,牡7,55,矢野貴之,1:40.4,ハナ,28.6,8,501(+2),[地] 佐宗応和
8,9,7,9,ポイントプラス,牡5,55,左海誠二,1:40.8,2,12.2,5,495(-5),[地] 林正人
9,10,6,6,メイショウパーシー,牡5,55,坂井英光,1:42.0,6,42.5,9,486(-9),[地] 鈴木義久
10,11,6,7,オキナワレッド,牝4,53,見沢譲治,1:43.6,8,21.1,6,448(-1),[地] 八木正喜
