,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,タワリングドリーム,セ8,56,木村芳晃,2:05.0,,---,1,497(-5),[地] 森山英雄
1,2,4,4,サンクスメモリー,牡9,56,金井正幸,2:05.0,クビ,---,6,467(0),[地] 法理勝弘
2,3,5,6,フォースキック,牡6,56,丸山侯彦,2:05.1,クビ,---,5,488(+1),[地] 岡田英治
3,4,6,7,ブラボーオペラ,牡5,56,鈴木正,2:05.8,3,---,4,476(-1),[地] 川嶋弘吉
4,5,7,10,マキバスナイパー,牡9,56,平沢則雄,2:05.8,アタマ,---,3,519(+4),[地] 法理勝弘
5,6,8,11,レッツゴーフジ,牡7,56,水野貴史,2:05.9,1/2,---,2,491(+1),[地] 川嶋弘吉
6,7,1,1,トロットテイオー,牡5,56,久保田政,2:05.9,クビ,---,8,479(+5),[地] 一倉昌行
7,8,7,9,ソーウンムテキ,牡7,56,内田利雄,2:06.3,2,---,10,455(+3),[地] 井田荘一
8,9,8,12,ホリークラウン,牡10,56,茂呂菊次,2:06.3,ハナ,---,12,467(0),[地] 法理勝弘
9,10,6,8,サンエムグレン,牡8,56,野沢憲彦,2:06.6,1.1/2,---,11,435(-3),[地] 佐藤裕
10,11,2,2,サンエムキング,牡12,56,山口竜一,2:06.8,1,---,7,476(0),[地] 岡田英治
11,12,5,5,ジーナ,牝7,54,矢野貴之,2:06.8,クビ,---,9,478(-2),[地] 野村正直
