,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,6,オールブラッシュ,牡6,58,田辺裕信,2:05.4,,16.4,4,494(-4),[西] 村山明
1,2,7,9,グリム,牡3,54,内田博幸,2:06.3,4,1.4,1,502(-3),[西] 野中賢二
2,3,8,11,クリソライト,牡8,58,武豊,2:06.5,1,7.9,3,497(-5),[西] 音無秀孝
3,4,2,2,アポロケンタッキー,牡6,58,Ｊ．モレ,2:07.1,3,3.8,2,569(-5),[西] 山内研二
4,5,4,4,ヤマノファイト,牡3,54,本橋孝太,2:07.4,1.1/2,16.4,5,535(+7),[地] 矢野義幸
5,6,8,10,トキノエクセレント,牡10,56,高松亮,2:07.9,2.1/2,224.5,9,473(+1),[地] 八木正喜
6,7,6,7,シュテルングランツ,牡7,56,的場文男,2:10.2,大+1.1/2,59.3,7,476(+8),[地] 小久保智
7,8,7,8,ガリバルディ,牡7,56,吉原寛人,2:10.8,3,119.5,8,510(+6),[地] 河津裕昭
8,9,1,1,ブレイズアトレイル,牡9,56,西啓太,2:13.3,大,457.4,10,512(+4),[地] 山田信大
9,10,5,5,コスモマイギフト,牡9,56,阪上忠匡,2:17.3,大,858.5,11,460(-10),[地] 湯前良人
10,失,3,3,トーセンデューク,牡7,56,森泰斗,2:09.9,,25.9,6,455(-5),[地] 小久保智
