,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,7,キョウエイギア,牡3,56,戸崎圭太,2:05.7,,14.2,4.0,485(+5),[西] 矢作芳人
1,2,8,13,ケイティブレイブ,牡3,56,武豊,2:06.6,4,4.8,3.0,495(+11),[西] 目野哲也
2,3,5,6,ゴールドドリーム,牡3,56,川田将雅,2:06.9,1.3/4,2.3,1.0,518(+6),[西] 平田修
3,4,6,8,バルダッサーレ,牡3,56,吉原寛人,2:07.0,1/2,15.0,5.0,471(-9),[地] 中道啓二
4,5,2,2,ダノンフェイス,牡3,56,岩田康誠,2:07.1,クビ,24.4,6.0,524(+4),[西] 大久保龍
5,6,7,10,カツゲキキトキト,牡3,56,木之前葵,2:08.2,5,70.9,7.0,495(+2),[地] 錦見勇夫
6,7,6,9,ストロングバローズ,牡3,56,Ｍ．デム,2:09.2,5,2.3,2.0,530(-2),[東] 堀宣行
7,8,1,1,サブノクロヒョウ,牡3,56,柏木健宏,2:09.3,クビ,412.6,10.0,482(+6),[地] 阪本一栄
8,9,7,11,ノーモアゲーム,牡3,56,内田博幸,2:09.4,1/2,146.4,8.0,465(-3),[東] 浅野洋一
9,10,4,5,モリデンルンバ,牡3,56,矢野貴之,2:09.4,ハナ,345.8,9.0,510(+8),[地] 坂本昇
10,11,8,12,キーパンチャー,牡3,56,笹川翼,2:10.6,6,444.9,12.0,485(+1),[地] 阪本一栄
11,12,4,4,キタノアドラーブル,牝3,54,大畑雅章,2:13.8,大,435.0,11.0,409(0),[地] 栗本陽一
12,取,3,3,タービランス,牡3,56,森泰斗,,,---,,計不,[地] 水野貴史
