,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,ブロードアピール,牝7,57,四位洋文,1:23.7,,1.7,1,476(+2),[西] 松田国英
1,2,8,13,トシザミカ,牝6,55,河内洋,1:23.7,ハナ,18.1,5,438(+4),[西] 音無秀孝
2,3,7,11,スターリングローズ,牡4,55,福永祐一,1:23.8,クビ,4.2,2,524(+4),[西] 北橋修二
3,4,4,4,ブラウンシャトレー,牡4,54,安部幸夫,1:24.1,1.3/4,62.1,9,458(-8),[地] 国光徹
4,5,8,12,ゴッドインチーフ,牝5,51,渡辺薫彦,1:24.2,3/4,40.7,7,472(+8),[西] 坂口正大
5,6,6,9,チェリーラスター,牡6,55,田島裕和,1:24.3,3/4,62.1,10,488(+2),[西] 大根田裕
6,7,5,7,マイネルジャパン,牡3,52,幸英明,1:24.5,1.1/4,58.0,8,496(0),[西] 佐々木晶
7,8,1,1,ブイジャンボ,牡6,51,池添謙一,1:24.5,アタマ,74.3,12,540(-16),[西] 福島信晴
8,9,7,10,シアトルフレーム,牡4,52,飯田祐史,1:24.5,ハナ,93.9,13,494(+2),[西] 佐々木晶
9,10,4,5,セレクトグリーン,牡6,56,藤田伸二,1:24.6,クビ,7.8,3,512(+11),[西] 音無秀孝
10,11,3,3,ヘイアンウインザー,牡6,53,武幸四郎,1:24.6,ハナ,71.7,11,474(-6),[東] 松山康久
11,12,6,8,ゲイリーコンドル,牡6,56,松永幹夫,1:24.6,ハナ,8.6,4,514(+4),[西] 増本豊
12,13,5,6,クールネージュ,牝5,53,小池隆生,1:26.5,大,32.2,6,468(+4),[西] 西園正都
