,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,ビービーパドル,セ8,56,坂口裕一,1:30.2,,3.5,2,491(-2),[地] 菅原右吉
1,2,7,7,トーセンガーリー,牝4,54,岩本怜,1:30.7,3,8.8,5,457(-4),[地] 佐藤祐司
2,3,1,1,サンクエトワール,牝7,54,塚本涼人,1:31.3,4,11.3,7,399(+1),[地] 平澤芳三
3,4,8,9,イエロージニア,牝5,54,木村暁,1:31.5,1.1/4,7.9,4,445(-1),[地] 畠山信一
4,5,6,6,シンユンベイビー,牝4,54,山本政聡,1:31.6,1/2,108.8,8,450(+4),[地] 千葉幸喜
5,6,7,8,エイシンスレイマン,牡8,56,村上忍,1:31.7,クビ,3.3,1,480(-2),[地] 三野宮通
6,7,3,3,デルマトルマリン,牝5,54,菅原辰徳,1:32.2,3,4.3,3,490(0),[地] 村上実
7,8,8,10,オールイン,牡8,56,高橋悠里,1:32.5,1.3/4,10.8,6,463(-3),[地] 三野宮通
8,9,4,4,ヒロイックサーガ,セ9,56,阿部英俊,1:32.5,クビ,152.3,9,504(-8),[地] 及川良春
9,10,2,2,ゲットリズム,牡6,56,小林凌,1:32.8,1.1/2,315.8,10,515(-2),[地] 橘友和
