,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,スーサンジョイ,牡3,55,和田竜二,1:22.6,,1.9,1,506(0),[西] 岩元市三
1,2,2,4,メイショウオセアン,牡4,57,酒井学,1:23.3,4,4.7,2,548(0),[西] 池添兼雄
2,3,6,12,エリアコンプリート,牡6,57,北村友一,1:23.3,アタマ,29.1,7,480(+10),[西] 大根田裕
3,4,3,5,ロードガルーダ,牡6,57,小牧太,1:23.3,ハナ,38.5,9,504(-16),[西] 池江泰寿
4,5,1,2,エンドレスノット,牝6,55,岩崎翼,1:23.7,2.1/2,50.0,12,496(+2),[東] 国枝栄
5,6,4,7,メイショウアイアン,牡5,57,秋山真一,1:23.8,1/2,14.1,5,510(+14),[西] 高橋義忠
6,7,3,6,サクセスフェイト,牡6,57,国分優作,1:23.9,クビ,83.6,14,454(+6),[西] 中内田充
7,8,4,8,ミッキーヘネシー,牡6,57,太宰啓介,1:24.0,3/4,44.8,11,490(+12),[西] 橋口弘次
8,9,2,3,ネヴァーハーツ,牝6,55,吉井友彦,1:24.2,1.1/2,41.0,10,482(-2),[西] 野中賢二
9,10,5,9,デルマネコムスメ,牝5,55,シュタル,1:24.3,クビ,50.6,13,448(+4),[東] 大和田成
10,11,8,15,サウンドアドバイス,牝5,55,幸英明,1:24.3,ハナ,9.4,3,456(+12),[西] 松元茂樹
11,12,7,14,テンペル,牡7,57,高倉稜,1:24.5,1,118.1,15,488(-4),[西] 松永幹夫
12,13,8,16,アンリヴィールド,牝6,55,国分恭介,1:24.6,3/4,29.7,8,492(+8),[西] 牧田和弥
13,14,7,13,ランドマーキュリー,牡5,57,藤岡康太,1:24.7,3/4,11.4,4,520(-6),[西] 安達昭夫
14,15,5,10,ヘアーオブザドッグ,牡6,57,鮫島良太,1:25.3,3.1/2,207.3,16,504(-24),[東] 竹内正洋
15,16,6,11,エイシンライダー,牡3,55,松山弘平,1:25.4,1/2,16.4,6,506(0),[西] 沖芳夫
