,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,4,カフェファラオ,牡5,57,福永祐一,1:34.6,,2.8,1,523(-1),[東] 堀宣行
1,2,4,8,ヘリオス,セ6,57,武豊,1:34.6,ハナ,12.0,6,472(+10),[西] 寺島良
2,3,8,15,シャマル,牡4,57,川須栄彦,1:34.7,1/2,5.1,3,517(+8),[西] 松下武士
3,4,3,6,イグナイター,牡4,57,田中学,1:34.8,1/2,11.6,5,513(-5),[地] 新子雅司
4,5,7,14,ゴールデンヒーラー,牝4,55,山本政聡,1:35.8,6,239.2,10,460(+6),[地] 佐藤祐司
5,6,4,7,サンライズノヴァ,牡8,57,山本聡哉,1:35.9,1/2,47.3,9,536(+2),[西] 音無秀孝
6,7,1,1,ソリストサンダー,牡7,57,吉田隼人,1:36.2,1.3/4,5.4,4,484(+1),[西] 高柳大輔
7,8,3,5,オンザロックス,牡9,57,達城龍次,1:36.4,3/4,619.6,13,484(-1),[地] 高橋清顕
8,9,8,16,エアスピネル,牡9,57,富田暁,1:36.6,1.1/4,38.6,7,477(-6),[西] 笹田和秀
9,10,2,3,タイムフライヤー,牡7,57,森泰斗,1:36.8,1.1/2,44.2,8,474(-27),[地] 村上頼章
10,11,6,11,カミノコ,牡7,57,坂口裕一,1:36.8,ハナ,561.8,12,490(+4),[地] 佐藤祐司
11,12,5,10,ヴァケーション,牡5,57,村上忍,1:37.0,1.1/4,260.9,11,498(+8),[地] 畠山信一
12,13,6,12,ゼットセントラル,セ6,57,陶文峰,1:37.3,1.3/4,681.8,15,513(+5),[地] 菅原右吉
13,14,5,9,アルクトス,牡7,57,田辺裕信,1:37.4,クビ,3.7,2,541(-7),[東] 栗田徹
14,15,1,2,ミスティネイル,牝6,55,松本剛志,1:38.2,5,621.5,14,512(-6),[地] 伊藤勝好
15,16,7,13,マイネルヘルツアス,セ5,57,菅原辰徳,1:38.6,2.1/2,739.9,16,459(-12),[地] 今津博之
