,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,9,ダノンファラオ,牡3,56,坂井瑠星,2:05.9,,40.6,6,518(-2),[西] 矢作芳人
1,2,8,12,ダイメイコリーダ,牡3,56,池添謙一,2:06.2,1.3/4,20.5,4,491(+15),[西] 森田直行
2,3,7,10,キタノオクトパス,牡3,56,田辺裕信,2:07.3,5,50.7,8,546(-2),[東] 高木登
3,4,5,7,ブラヴール,牡3,56,本橋孝太,2:07.6,1.3/4,74.1,9,491(-9),[地] 佐藤裕太
4,5,7,11,ミヤジコクオウ,牡3,56,幸英明,2:08.0,2,6.0,2,506(+6),[西] 川村禎彦
5,6,1,1,エメリミット,牡3,56,山口達弥,2:08.3,1.1/2,50.0,7,464(-1),[地] 林正人
6,7,2,2,カフェファラオ,牡3,56,Ｄ．レー,2:08.4,3/4,1.1,1,508(-4),[東] 堀宣行
7,8,3,3,バーナードループ,牡3,56,Ｃ．ルメ,2:08.4,ハナ,12.9,3,513(-5),[東] 高木登
8,9,8,13,コージーサンラッド,牡3,56,本田正重,2:09.0,3,351.1,11,481(-1),[地] 須田和伸
9,10,5,6,リコーシーウルフ,牡3,56,真島大輔,2:09.1,クビ,282.1,10,490(+1),[地] 荒山勝徳
10,11,6,8,ガミラスジャクソン,牡3,56,鴨宮祥行,2:10.4,6,428.2,13,450(-3),[地] 長南和宏
11,12,4,5,フルフラット,牡3,56,武豊,2:11.8,7,30.0,5,514(-2),[西] 森秀行
12,13,4,4,ゴールドボンバー,牡3,56,矢野貴之,2:12.7,4,365.6,12,523(-8),[地] 市村誠
