,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,カネサイテリオス,牡3,54,菅原幸弘,1:16.0,,---,4,446(+11),[地] 佐藤正信
1,2,3,3,キングカイザー,牡3,54,小林俊彦,1:17.0,5,---,6,476(-8),[地] 佐々木修
2,3,6,7,ミッドツイン,牝3,53,山本裕次,1:17.6,3,---,5,386(-6),[地] 熊谷昇
3,4,6,6,ミチノクデンコウ,牡3,54,沢田盛夫,1:18.3,4,---,2,461(+8),[地] 及川良春
4,5,8,11,ジェーピードリーム,牡3,54,渡辺正彦,1:18.3,ハナ,---,9,438(-3),[地] 佐々木修
5,6,7,9,ベルスワンダー,牡3,54,西村秀幸,1:18.4,クビ,---,3,462(+5),[地] 佐々木由
6,7,7,8,アキナトップオー,牡3,54,菅原雅文,1:18.8,2,---,11,435(0),[地] 只野広明
7,8,4,4,ミチノクキング,牡3,54,山崎進,1:18.9,3/4,---,7,428(+15),[地] 志村文雄
8,9,8,10,タックスペシャル,牝3,53,村上忍,1:19.3,2,---,1,445(+4),[地] 村上佐重
9,10,1,1,コスモレディー,牝3,53,千葉淳志,1:19.7,2,---,8,419(-4),[地] 桜田浩三
10,11,5,5,キタノガバナ,牝3,53,草地保隆,1:20.1,2,---,10,404(-2),[地] 遠藤陸夫
