,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,4,スマッシャー,牡3,56,坂井瑠星,1:24.5,,3.6,1,464(+2),[西] 吉岡辰弥
1,2,2,3,サトノインパルス,牡3,56,松若風馬,1:25.7,7,15.7,6,522(+2),[西] 中竹和也
2,3,6,10,トーホウスザク,牡3,56,幸英明,1:25.7,ハナ,8.2,4,490(-2),[西] 谷潔
3,4,6,11,スカーレットスカイ,牝3,54,松山弘平,1:25.8,1/2,27.0,9,470(+8),[西] 岡田稲男
4,5,4,6,エイシンギアアップ,牡3,56,北村友一,1:25.9,クビ,9.1,5,502(-6),[西] 中尾秀正
5,6,5,8,メイショウミツヒデ,牡3,56,和田竜二,1:26.0,1,3.6,2,476(-8),[西] 南井克巳
6,7,1,1,サトノアポロン,牡3,56,岩田康誠,1:26.3,2,5.1,3,494(+16),[西] 安田隆行
7,8,8,14,ハクサンマックス,牡3,56,酒井学,1:26.6,1.3/4,37.4,11,434(-6),[西] 西園正都
8,9,3,5,ピエナレモン,牡3,56,太宰啓介,1:26.6,クビ,29.8,10,452(-2),[西] 飯田祐史
9,10,7,12,サイモンギザ,牡3,56,池添謙一,1:26.6,ハナ,191.0,13,440(+2),[西] 上村洋行
10,11,4,7,レイワプリンセス,牝3,54,岩田望来,1:27.0,2.1/2,24.6,8,492(+12),[西] 木原一良
11,12,5,9,ハクサンクラーケン,牡3,56,小崎綾也,1:28.2,7,113.8,12,470(-4),[西] 小崎憲
12,13,7,13,ノブシ,牡3,56,古川吉洋,1:28.8,3.1/2,20.2,7,486(-4),[西] 藤岡健一
13,14,8,15,フィーリウスワン,牡3,56,中井裕二,1:30.1,8,244.9,14,456(-2),[西] 千田輝彦
14,15,2,2,サウンドダンス,牡3,56,長岡禎仁,1:30.5,2.1/2,357.0,15,452(-4),[西] 武英智
