,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,シャイニングサン,牡4,55,一ノ瀬亨,1:42.5,,---,1,517(+2),[地] 内田勝義
1,2,3,3,イブキサンシロウ,牡5,55,佐藤博紀,1:42.9,2,---,2,442(+3),[地] 足立勝久
2,3,5,5,フタエマル,牝5,53,森下博,1:43.8,4,---,8,487(-8),[地] 秋山重美
3,4,6,8,スピードアーク,牡5,55,今野忠成,1:43.9,3/4,---,3,508(+3),[地] 安池成実
4,5,5,6,トヤママズル,牝4,53,張田京,1:43.9,アタマ,---,4,480(-7),[地] 佐々木洋
5,6,6,7,リカルス,牡5,55,石崎隆之,1:44.2,1.1/2,---,5,472(+8),[地] 坂本昇
6,7,8,12,アイムクイーン,牝4,53,野崎武司,1:44.3,クビ,---,6,488(-1),[地] 池田孝
7,8,4,4,スプリンエイト,牡6,55,金子正彦,1:44.6,1.1/2,---,7,447(-13),[地] 冨田藤男
8,9,2,2,プリンセスオペラ,牝5,53,高橋哲也,1:44.8,1,---,9,423(-7),[地] 牛房栄吉
9,10,7,9,シングルトラック,牡5,55,山田信大,1:45.2,2,---,12,484(+1),[地] 今井輝和
10,11,7,10,スーパークレス,牡6,55,佐藤正人,1:45.3,3/4,---,10,438(+1),[地] 木村和男
11,12,8,11,コモリヴァー,牡8,54,桑島孝春,1:45.8,2.1/2,---,11,440(-2),[地] 高松弘之
