,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,6,インザネイビー,牝2,54,桑村真明,1:57.1,,17.3,7,486(-4),[地] 角川秀樹
1,2,5,5,グローリング,牡2,54,岩橋勇二,1:57.3,1,13.5,5,442(+4),[地] 田中淳司
2,3,2,2,ナナヒカリ,牡2,54,黒沢愛斗,1:57.4,3/4,5.3,2,444(-6),[地] 林和弘
3,4,8,11,フレアリングダイヤ,牡2,54,松井伸也,1:57.8,2,5.4,3,488(0),[地] 松本隆宏
4,5,8,12,ビービーバンチョウ,牡2,54,井上俊彦,1:58.0,3/4,38.6,8,448(+2),[地] 林和弘
5,6,6,8,ニッポンダエモン,牡2,54,石川倭,1:58.3,1.1/2,2.0,1,490(+4),[地] 村上正和
6,7,7,10,アウトスタンディン,牡2,54,五十嵐冬,1:59.0,3,13.8,6,484(+2),[地] 恵多谷豊
7,8,3,3,クラコンボイ,牡2,54,宮崎光行,1:59.4,2,10.1,4,530(0),[地] 松本隆宏
8,9,4,4,ファイトファイヤー,牡2,54,阿部龍,1:59.9,2.1/2,41.4,9,458(+6),[地] 角川秀樹
9,10,1,1,ロンリーチャプリン,牡2,54,井上幹太,2:00.3,2,47.4,10,444(+6),[地] 小国博行
10,11,7,9,ツキノレガーロ,牡2,54,田野豊三,2:00.8,2.1/2,192.6,12,432(+2),[地] 林和弘
11,12,6,7,スマイルジーニアス,牡2,54,佐々木国,2:00.9,クビ,135.5,11,488(0),[地] 林和弘
