,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,7,ディープサマー,牡2,54,藤田伸二,1:13.4,,1.3,1,480(0),[西] 山内研二
1,2,8,9,ストーミーカフェ,牡2,54,四位洋文,1:15.3,大,6.0,2,488(0),[東] 小島太
2,3,7,8,セイウンココロザシ,牡2,52,石橋脩,1:15.3,ハナ,7.6,3,500(0),[東] 河野通文
3,4,4,4,メジロスパイダー,牡2,54,横山典弘,1:15.6,2,29.9,6,474(0),[東] 奥平真治
4,5,2,2,タガノラブパワー,牡2,52,岩崎祐己,1:16.9,8,11.5,4,456(0),[西] 宮徹
5,6,5,5,エアーグリーン,牡2,54,岩部純二,1:17.1,3/4,88.9,10,446(0),[東] 新関力
6,7,1,1,エリンバーレ,牡2,54,勝浦正樹,1:17.4,2,63.0,8,450(0),[東] 笹倉武久
7,8,6,6,オルロフ,牡2,54,和田竜二,1:17.4,ハナ,20.2,5,470(0),[西] 中尾秀正
8,9,3,3,ヤクモブリリアント,牝2,54,菊沢隆徳,1:17.9,3,34.8,7,436(0),[東] 加賀武見
9,10,8,10,ブライアンスキー,牡2,54,小林徹弥,1:18.7,5,79.4,9,454(0),[西] 田所秀孝
