,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,ビッグマウス,牡3,55,五十嵐冬,1:15.9,,3.5,1,464(+16),[地] 桑原義光
1,2,1,1,マロンデザート,牝3,53,中村裕司,1:17.1,6,11.2,8,478(+18),[地] 北川數男
2,3,7,7,コンテ,牡3,55,小野望,1:17.1,ハナ,8.5,6,456(+18),[地] 角川秀樹
3,4,8,9,ブライトキャップ,牝3,53,小嶋久輝,1:18.3,6,5.0,2,438(+14),[地] 石本孝博
4,5,2,2,コウメ,牝3,53,馬渕繁治,1:18.4,1/2,16.7,9,420(+14),[地] 大崎順司
5,6,5,5,エフエルマックス,牡3,55,山口竜一,1:18.7,1.1/2,9.6,7,468(+12),[地] 角川秀樹
6,7,6,6,シャドープリンス,牡3,55,佐々木国,1:18.9,1,6.4,4,470(+42),[地] 広森久雄
7,8,4,4,メイショウサンデー,牡3,55,桜井拓章,1:19.9,5,6.1,3,492(+22),[地] 田部和則
8,9,8,10,コマツサンデー,牝3,53,笹木美典,1:20.7,4,38.6,10,442(+22),[地] 清水日出
9,10,7,8,シャンハイオークス,牝3,53,藤倉寛幸,1:20.8,クビ,7.0,5,432(+4),[地] 谷口常信
