,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,カツゲキキトキト,牡5,57,大畑雅章,1:28.6,,1.1,1,532(+1),[地] 錦見勇夫
1,2,1,1,ポルタディソーニ,牝4,55,宮下瞳,1:28.9,1.1/2,49.9,6,434(0),[地] 瀬戸口悟
2,3,3,3,インディウム,牡6,57,大山真吾,1:29.0,クビ,52.7,7,497(-8),[地] 田中範雄
3,4,2,2,コスモラヴモア,牡7,57,丸野勝虎,1:29.1,クビ,6.9,2,498(-3),[地] 今津博之
4,5,8,12,メモリージルバ,牡9,57,友森翔太,1:29.2,1/2,377.2,12,466(+1),[地] 塚田隆男
5,6,5,6,スターインパルス,牝4,55,岡部誠,1:29.3,1/2,23.6,5,466(-10),[地] 小久保智
6,7,7,10,ドリームコンサート,牡9,57,鴨宮祥行,1:29.4,1/2,58.6,8,523(-6),[地] 柏原誠路
7,8,7,9,ドレッドノート,セ10,57,山下雅之,1:29.5,1/2,82.5,10,471(-4),[地] 川嶋弘吉
8,9,4,4,ウルトラカイザー,牡10,57,真島正徳,1:29.5,ハナ,19.4,4,480(-10),[地] 真島元徳
9,10,6,7,ナチュラリー,牡4,57,下原理,1:29.7,1.1/2,16.7,3,469(-14),[地] 新子雅司
10,11,6,8,サンデンバロン,牡6,57,丹羽克輝,1:30.1,2,66.2,9,478(+2),[地] 塚田隆男
11,12,5,5,ヴェリテ,セ6,57,柿原翔,1:30.2,1/2,189.2,11,482(0),[地] 竹下太
