,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,12,サルサディオーネ,牝6,55,矢野貴之,1:40.1,,6.7,5,525(+11),[地] 堀千亜樹
1,2,6,9,メモリーコウ,牝5,55,的場文男,1:40.5,2,4.1,2,466(-12),[西] 松永幹夫
2,3,3,4,スマートフルーレ,牝4,55,武豊,1:40.8,1.1/2,4.7,3,495(-13),[西] 南井克巳
3,4,7,11,ストロングハート,牝5,55,町田直希,1:42.1,6,190.5,10,493(+2),[地] 内田勝義
4,5,2,2,ラビットラン,牝6,57,森泰斗,1:42.4,1.1/2,10.4,6,496(+34),[地] 佐藤裕太
5,6,6,10,ラインカリーナ,牝4,57,武藤雅,1:42.5,1/2,5.4,4,490(-1),[東] 武藤善則
6,7,5,8,ナムラメルシー,牝6,55,御神本訓,1:42.5,アタマ,17.9,7,506(+5),[地] 福田真広
7,8,5,7,スターレーン,牝6,55,廣瀬航,1:43.2,3,452.1,14,440(-12),[地] 松浦聡志
8,9,8,13,パッシングスルー,牝4,56,内田博幸,1:43.3,3/4,3.5,1,493(+5),[東] 黒岩陽一
9,10,4,6,グランモナハート,牝4,55,本田正重,1:43.4,1/2,141.9,9,467(+4),[地] 福田真広
10,11,3,3,ゼットパッション,牝4,55,山崎誠士,1:43.6,3/4,347.4,11,527(+2),[地] 佐々木仁
11,12,4,5,アークヴィグラス,牝4,55,張田昂,1:43.7,3/4,433.3,13,453(-2),[地] 嶋田幸晴
12,13,8,14,チークス,牝5,55,笹川翼,1:43.8,1/2,70.7,8,467(-3),[地] 林隆之
13,14,1,1,ナラ,牝4,55,水野翔,1:45.3,7,404.8,12,409(+12),[地] 湯前良人
