,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,9,ツカサゲンキ,牡3,56,武幸四郎,1:55.4,,28.2,9,480(-2),[西] 田所秀孝
1,2,4,7,ワイレアビーチ,牡3,56,小牧太,1:55.4,ハナ,6.7,4,490(-4),[西] 橋口弘次
2,3,3,6,マーリンシチー,牡3,56,川原正一,1:55.6,1.1/4,7.6,5,446(0),[西] 佐々木晶
3,4,7,14,シルクトマホーク,牡3,56,Ｍデムー,1:55.6,クビ,10.2,7,430(0),[西] 安田伊佐
4,5,2,3,シゲルトカチダケ,牡3,56,幸英明,1:55.7,3/4,144.5,12,436(-4),[西] 武田博
5,6,5,10,ヒシピラルクー,牡3,54,田中克典,1:56.0,1.3/4,204.9,15,494(+4),[西] 佐山優
6,7,6,11,ナムラブレット,牡3,56,秋山真一,1:56.2,1.1/2,4.1,1,444(+8),[西] 野村彰彦
7,8,8,16,デンコウゼファー,牡3,56,小林徹弥,1:56.5,2,171.6,14,442(0),[西] 安達昭夫
8,9,6,12,タガノガブリエル,牡3,56,岩田康誠,1:56.7,1,9.6,6,524(-6),[西] 小原伊佐
9,10,2,4,エーシンクラウニン,牡3,56,酒井学,1:56.7,ハナ,148.2,13,472(-4),[西] 川村禎彦
10,11,1,1,セトステイ,牡3,56,木村健,1:57.1,2.1/2,206.4,16,430(+10),[西] 清水出美
11,12,1,2,ハードイチオー,牡3,56,佐藤哲三,1:57.2,クビ,5.1,2,474(+4),[西] 福永甲
12,13,4,8,バートンクリーク,牡3,56,和田竜二,1:57.4,1.1/2,5.4,3,516(-4),[西] 崎山博樹
13,14,8,15,スプリングカエサル,牡3,56,福永祐一,1:57.6,1.1/2,18.5,8,468(-4),[西] 野村彰彦
14,15,3,5,メイショウイロドリ,牝3,54,池添謙一,1:58.0,2.1/2,119.7,11,424(-4),[西] 荒川義之
15,16,7,13,ハマノバレンタイン,牡3,56,川田将雅,2:02.2,大,39.7,10,478(+4),[西] 服部利之
