,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,10,クリスマスキング,牡4,56,丸山元気,1:46.0,,3.3,2,464(-2),[西] 牧浦充徳
1,2,1,1,モルフェキング,牡3,55,中舘英二,1:46.0,ハナ,7.9,4,470(+6),[西] 武宏平
2,3,2,2,トータルシーオー,牡3,55,藤岡康太,1:47.0,6,11.5,5,444(-16),[東] 天間昭一
3,4,7,11,サトノロマネ,牡4,54,国分優作,1:47.0,アタマ,2.2,1,486(-4),[東] 国枝栄
4,5,5,6,ニュージェットラン,牡6,57,石橋脩,1:47.1,クビ,7.4,3,464(-2),[東] 柴田政人
5,6,8,12,シンボリカンヌ,牡3,55,的場勇人,1:47.1,クビ,77.8,9,510(-8),[西] 荒川義之
6,7,8,13,サンワードネオ,牡3,55,中谷雄太,1:47.6,3,22.2,7,442(-6),[東] 堀井雅広
7,8,6,9,キョウワシャドー,牡3,55,太宰啓介,1:48.0,2.1/2,126.3,11,426(-6),[西] 吉岡八郎
8,9,3,3,アスカノヨアケ,牡4,57,赤木高太,1:48.2,1.1/4,55.6,8,448(-4),[西] 境直行
9,10,5,7,ドリームラブソング,牡3,55,鈴来直人,1:48.3,クビ,21.3,6,470(0),[東] 松山将樹
10,11,4,4,バンブーキャプテン,牡4,57,西田雄一,1:48.7,2.1/2,96.7,10,466(0),[東] 佐藤全弘
11,12,6,8,アイティムサシ,牡4,54,平野優,1:49.4,4,164.8,13,514(-8),[東] 矢野照正
12,13,4,5,ワカムシャラミー,セ3,55,荻野琢真,1:50.3,5,154.7,12,492(+26),[西] 作田誠二
