,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,グランシュヴァリエ,牡8,57,永森大智,2:08.4,,1.2,1,507(+3),[地] 雑賀正光
1,2,5,5,バウンサー,牡5,57,上田将司,2:10.1,8,58.8,8,509(-4),[地] 打越勇児
2,3,6,7,クイックリープ,牡8,57,宮川実,2:10.7,3,3.4,2,473(-2),[地] 打越勇児
3,4,8,11,リワードアリオン,牡7,57,山中悠希,2:10.8,1/2,47.3,7,483(+4),[地] 雑賀正光
4,5,3,3,ウィザードブラスト,牡8,57,西山裕貴,2:11.0,1,163.5,10,497(0),[地] 松木啓助
5,6,6,6,マンテンスカイ,セ6,57,中西達也,2:11.1,クビ,26.9,3,492(-2),[地] 炭田健二
6,7,2,2,セトノジャーニー,牡6,57,西森将司,2:11.5,2,84.0,9,520(-2),[地] 松木啓助
7,8,7,8,ヒロカミヒメ,牝4,55,西川敏弘,2:11.9,2,37.1,5,472(+2),[地] 大関吉明
8,9,7,9,ムサシボー,牡10,57,岡村卓弥,2:12.1,3/4,208.5,11,449(+1),[地] 雑賀正光
9,10,4,4,ジュライザセヴンス,牡5,57,赤岡修次,2:12.2,1/2,28.3,4,452(+2),[地] 松木啓助
10,11,8,10,ヘイハチキング,牡6,57,別府真衣,2:12.5,1.1/2,46.9,6,487(-2),[地] 宮路洋一
