,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,マイネルシュトルム,牡4,56,デムーロ,2:28.1,,2.1,1,500(0),[西] 中尾秀正
1,2,8,11,トップサンダー,牡4,54,和田竜二,2:28.1,ハナ,12.2,5,492(-6),[西] 岩元市三
2,3,6,7,シングライクバード,牝5,55,福永祐一,2:28.8,4,5.5,3,480(-4),[西] 友道康夫
3,4,5,6,エナージバイオ,牡5,55,武豊,2:29.0,1.1/4,9.8,4,474(0),[西] 梅田智之
4,5,6,8,マヤノゴクウ,牡7,55,池添謙一,2:29.1,3/4,35.7,7,536(+2),[西] 庄野靖志
5,6,8,12,ブルースターキング,牡4,55,岩田康誠,2:29.2,1/2,4.0,2,464(0),[西] 山内研二
6,7,7,10,ハートシューター,牡4,52,浜中俊,2:29.4,1,26.2,6,524(+2),[西] 西浦勝一
7,8,5,5,キンショーオトヒメ,牝5,51,酒井学,2:29.5,3/4,39.1,9,450(-2),[西] 中村均
8,9,4,4,ロザリオ,牡5,54,小牧太,2:29.7,1.1/4,38.8,8,456(+14),[西] 橋口弘次
9,10,1,1,ボーテセレスト,牝6,53,小林徹弥,2:29.7,クビ,46.0,10,420(0),[西] 西橋豊治
10,11,2,2,パワーエース,牡4,53,熊沢重文,2:29.9,1.1/4,184.5,12,478(0),[西] 大橋勇樹
11,12,7,9,フラワータキシード,牡6,53,幸英明,2:30.4,3,139.1,11,468(0),[東] 本間忍
