,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,6,エンドオール,牡2,54,浜中俊,1:09.3,,3.5,2,520(0),[西] 宮本博
1,2,7,8,セイクリムズン,牡2,55,幸英明,1:09.4,3/4,3.0,1,494(+6),[西] 服部利之
2,3,2,2,アイディンパワー,牡2,55,藤岡佑介,1:09.7,1.3/4,3.8,3,466(+4),[西] 本田優
3,4,4,4,マイネルロワイヤル,牡2,55,吉田隼人,1:10.0,2,25.1,6,460(-2),[西] 中村均
4,5,7,7,ウィズインライアン,牝2,52,田中健,1:10.0,アタマ,30.0,7,422(-4),[西] 福島信晴
5,6,8,9,メイショウフレアー,牡2,55,福永祐一,1:10.1,クビ,6.4,4,476(-12),[西] 岡田稲男
6,7,1,1,コスモアポロ,牡2,55,池添謙一,1:10.1,クビ,44.8,8,466(+10),[西] 服部利之
7,8,5,5,ウインザモチ,牡2,55,小牧太,1:10.2,クビ,8.8,5,460(+4),[西] 境直行
8,9,3,3,リーディングパート,牡2,52,荻野琢真,1:10.2,ハナ,273.4,10,476(0),[西] 鶴留明雄
9,10,8,10,ダンツペレット,牝2,52,田中克典,1:11.4,7,175.1,9,472(+4),[西] 山内研二
