,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,ピットファイター,牡6,57,安藤勝己,1:49.8,,9.5,5,494(+4),[東] 加藤征弘
1,2,6,11,オーガストバイオ,牡4,56,池添謙一,1:50.0,1.1/2,42.2,10,502(+2),[西] 領家政蔵
2,3,6,12,サワノブレイブ,牡4,56,小牧太,1:50.2,1,74.7,12,486(+2),[西] 北橋修二
3,4,3,5,ヒシアトラス,牡5,57,横山典弘,1:50.2,ハナ,2.6,1,534(-5),[東] 中野隆良
4,5,5,10,ブラックコンドル,牡4,56,武幸四郎,1:50.3,1/2,26.6,8,460(+4),[西] 松田国英
5,6,2,3,サカラート,牡5,56,幸英明,1:50.4,クビ,10.0,6,468(0),[西] 石坂正
6,7,5,9,サミーミラクル,牡5,56,四位洋文,1:50.5,クビ,8.4,4,520(0),[西] 増本豊
7,8,8,16,サイレンスボーイ,牡6,56,和田竜二,1:50.5,ハナ,5.5,2,482(+4),[西] 石坂正
8,9,1,1,スターキングマン,牡6,59,岩田康誠,1:50.5,アタマ,71.1,11,466(-4),[西] 森秀行
9,10,7,14,タイキエニグマ,牡4,56,福永祐一,1:50.6,3/4,18.7,7,500(0),[東] 清水美波
10,11,4,7,エンシェントヒル,牝4,54,生野賢一,1:50.7,1/2,6.5,3,466(+2),[西] 松元茂樹
11,12,7,13,イサオヒート,牡7,56,吉田豊,1:50.7,ハナ,150.7,14,512(-2),[東] 奥平雅士
12,13,4,8,スリージェム,牡4,56,本田優,1:50.9,1.1/4,28.6,9,456(0),[西] 橋本寿正
13,14,2,4,ビッグウルフ,牡5,59,石橋守,1:51.3,2.1/2,207.7,16,440(+4),[西] 中尾正
14,15,1,2,ハギノハイグレイド,牡9,58,熊沢重文,1:51.5,1.1/2,81.5,13,518(+4),[西] 松田国英
15,16,8,15,クーカイ,牡5,56,吉田稔,1:51.9,2.1/2,160.4,15,516(-1),[東] 萩原清
