,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,ヴィクトリーケルブ,牡5,56,吉本隆記,1:31.8,,3.0,2,505(-11),[地] 田中守
1,2,4,4,リュウノパッセル,牝5,54,上田将司,1:32.0,1,23.0,4,502(-7),[地] 国沢輝幸
2,3,6,6,アドマイヤジャガー,牡8,56,宮川実,1:32.6,3,10.9,3,468(-5),[地] 打越勇児
3,4,3,3,クリームソーダ,牡7,56,赤岡修次,1:32.7,1/2,1.4,1,505(-1),[地] 松木啓助
4,5,7,8,ニシノストーミング,牡4,56,西川敏弘,1:32.9,3/4,130.3,8,455(-4),[地] 工藤真司
5,6,5,5,クーヨシン,牝6,54,佐原秀泰,1:33.0,1/2,35.8,6,461(+3),[地] 那俄性哲
6,7,8,9,クレイアートビュン,牡11,56,永森大智,1:33.1,1/2,24.8,5,450(-2),[地] 雑賀正光
7,8,7,7,アイアンゴーレム,牡4,56,中西達也,1:33.7,3,236.6,10,473(-5),[地] 工藤真司
8,9,2,2,キルデビルヒルズ,牡7,56,妹尾浩一,1:33.7,アタマ,104.7,7,491(+3),[地] 打越勇児
9,10,8,10,マルチドラゴン,牡4,56,西山裕貴,1:34.8,5,228.1,9,501(+33),[地] 松木啓助
