,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,6,ドリームクラフト,牡7,57,陶文峰,1:25.8,,6.4,4,458(+2),[地] 平沢芳三
1,2,8,11,ランドオウジ,牡7,57,坂口裕一,1:26.6,5,3.0,1,494(+10),[地] 千葉幸喜
2,3,3,3,スズヨシーズン,牡8,57,菅原俊吏,1:26.8,1,14.6,7,491(+5),[地] 石川栄
3,4,1,1,ヒカルジョディー,牡7,57,山本聡哉,1:26.8,クビ,9.0,5,482(-6),[地] 畠山信一
4,5,6,8,スーパーワシントン,牡10,57,斉藤雄一,1:27.0,1.1/2,11.4,6,466(+1),[地] 佐藤雅彦
5,6,2,2,ディアーウィッシュ,牡9,57,高松亮,1:27.0,クビ,60.8,11,524(+2),[地] 佐々木修
6,7,7,9,トウカイパスカル,セ5,57,山本政聡,1:27.2,3/4,78.6,12,493(+3),[地] 板垣吉則
7,8,7,10,ライトマッスル,牡4,57,関本淳,1:27.3,1/2,5.2,3,456(+3),[地] 熊谷昇
8,9,5,5,レイモニ,牝4,55,高橋悠里,1:27.3,クビ,26.2,8,443(+3),[地] 佐藤祐司
9,10,4,4,コスモフィナンシェ,牡4,57,村上忍,1:27.3,アタマ,3.4,2,495(+2),[地] 板垣吉則
10,11,8,12,リビングストン,セ7,57,小林俊彦,1:27.9,4,54.6,10,491(+4),[地] 小林義明
11,12,6,7,エーシンブラン,牡5,57,菅原辰徳,1:31.5,大,50.5,9,488(+17),[地] 瀬戸幸一
