,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,3,サクラビジェイ,牡3,53,小島太一,1:37.8,,22.1,6,450(+2),[東] 小島太
1,2,8,16,セイカチューバ,牡3,56,柴山雄一,1:38.3,3,58.8,9,492(0),[東] 相沢郁
2,3,6,12,マイネルアルクス,牡3,56,デザーモ,1:38.5,1.1/4,5.7,4,462(+4),[東] 藤沢和雄
3,4,3,6,オフィサー,牡3,56,武豊,1:38.6,3/4,2.8,1,496(+6),[西] 森秀行
4,5,3,5,タケショウヤマト,牡3,53,丹内祐次,1:38.8,1.1/4,29.3,7,462(-2),[東] 矢野照正
5,6,4,7,ベルモントボージー,牡3,56,二本柳壮,1:38.9,クビ,137.3,15,500(0),[東] 鈴木康弘
6,7,2,4,ピサノヨシツネ,牡3,56,田中勝春,1:39.2,2,4.5,3,506(-10),[東] 河野通文
7,8,7,13,チョウカイフレンチ,牡3,56,四位洋文,1:39.2,アタマ,3.9,2,494(0),[東] 中野隆良
8,9,5,9,ハッスルシチー,牡3,56,北村宏司,1:39.3,クビ,62.2,10,490(-6),[東] 平井雄二
9,10,8,15,サニーネイティブ,牡3,56,蛯名正義,1:39.5,1.1/2,125.8,13,496(+10),[東] 谷原義明
10,11,1,1,マイハマムスメ,牝3,54,田辺裕信,1:39.7,1,135.3,14,460(0),[東] 久保田貴
11,12,5,10,ヴィフォルテ,牝3,54,柴田善臣,1:39.7,クビ,63.0,11,514(0),[東] 戸田博文
12,13,4,8,ストーミングパワー,牡3,55,石橋脩,1:39.7,アタマ,41.9,8,470(+2),[東] 松山康久
13,14,1,2,サウスオーカン,牡3,56,勝浦正樹,1:39.7,ハナ,100.2,12,472(+4),[東] 土田稔
14,15,6,11,アイラブマキシマム,牝3,51,南田雅昭,1:41.0,8,176.2,16,474(-8),[東] 奥平真治
15,16,7,14,アーマメント,牡3,56,後藤浩輝,1:42.0,6,19.5,5,504(0),[東] 国枝栄
