,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,16,アロンダイト,牡3,54,後藤浩輝,1:51.3,,5.6,3,544(0),[西] 石坂正
1,2,3,6,タマモコンチェルト,牡4,57,福永祐一,1:51.5,1,3.2,1,526(+2),[西] 中竹和也
2,3,4,8,ホーマンラフィット,牡4,57,金折知則,1:51.5,クビ,63.2,13,454(-4),[西] 松元茂樹
3,4,7,14,ワンダータイキ,牡5,54,田村太雅,1:51.6,クビ,19.1,9,464(-2),[西] 佐藤正雄
4,5,3,5,ラガーペガサス,牡4,57,和田竜二,1:51.9,1.3/4,12.9,7,520(0),[西] 柴田政見
5,6,2,4,シルクホームラン,牝4,55,田嶋翔,1:52.3,2.1/2,96.2,15,448(0),[西] 佐山優
6,7,7,13,カシノバズライト,牡4,57,幸英明,1:52.5,1.1/2,12.6,6,474(+2),[西] 梅内忍
7,8,2,3,ツルマルローレル,牡4,57,赤木高太,1:52.6,1/2,62.5,12,472(-10),[西] 古川平
8,9,5,10,キングロード,牡4,56,川田将雅,1:52.8,1.1/2,89.8,14,478(-10),[西] 領家政蔵
9,10,6,12,エプソムドン,牡4,54,船曳文士,1:52.9,クビ,10.2,4,500(-6),[西] 田島良保
10,11,1,2,デュヴァル,牡5,56,鮫島良太,1:53.0,3/4,5.4,2,532(-4),[西] 松田国英
11,12,1,1,スナークエベレスト,牡5,57,田中学,1:53.2,1.1/4,11.2,5,490(-6),[西] 野村彰彦
12,13,5,9,アシゲノキラメキ,牡3,51,中村将之,1:53.5,2,23.9,10,512(+2),[西] 木原一良
13,14,6,11,シロキタベガ,牡3,51,田中克典,1:55.3,大,46.4,11,460(-8),[西] 五十嵐忠
14,15,4,7,ホウシュウムサシ,牡5,57,熊沢重文,1:55.5,1.1/2,16.2,8,498(-2),[西] 松田博資
15,16,8,15,シルクフライト,牡4,57,高橋亮,1:55.8,1.3/4,262.4,16,464(-2),[西] 高橋隆
