,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,13,アドマイヤホープ,牡2,54,武豊,1:55.1,,---,2,452(+4),[西] 橋田満
1,2,3,3,オーゴンコウテイ,牡2,54,五十嵐冬,1:55.8,3,---,9,474(-2),[地] 伊藤隆志
2,3,5,7,ブラックシープ,牡2,54,井上俊彦,1:55.9,クビ,---,6,504(0),[地] 田中正二
3,4,2,2,モエレエスポワール,牡2,54,千葉津代,1:56.1,1,---,1,470(+4),[地] 堂山芳則
4,5,8,14,フジエスミリオーネ,牡2,54,藤倉寛幸,1:56.1,アタマ,---,4,464(+4),[地] 角川秀樹
5,6,4,5,アラビアンナイト,牡2,54,松永幹夫,1:56.2,1/2,---,3,484(-2),[西] 山本正司
6,7,6,10,ランノホシ,牡2,54,斉藤正弘,1:56.5,1.1/2,---,5,490(+10),[地] 林和弘
7,8,5,8,トムコリンズ,牡2,54,佐々木国,1:56.7,1,---,10,430(+4),[地] 恵多谷豊
8,9,6,9,グローリサンディ,牝2,53,川島雅人,1:57.1,2,---,12,422(0),[地] 恵多谷豊
9,10,7,12,ケイジーロマン,牝2,53,坂下秀樹,1:57.8,3,---,7,482(+4),[地] 田部和則
10,11,1,1,ニッショウカイドウ,牡2,54,川島洋人,1:57.9,3/4,---,13,478(0),[地] 米川伸也
11,12,3,4,ニューサイエンス,牝2,53,宮崎光行,1:58.1,1,---,14,436(-4),[地] 村上正和
12,13,4,6,セトノヒット,牡2,54,酒井学,1:58.4,1.1/2,---,11,440(-10),[西] 西園正都
13,14,7,11,ムーンバレイ,牡2,54,川島信二,1:59.0,3,---,8,480(+20),[西] 安藤正敏
