,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,12,コスモイフリート,牡9,55,赤岡修次,1:24.8,,2.1,1,511(-1),[地] 工藤真司
1,2,5,6,セイリオス,牡9,55,西森将司,1:25.5,3,5.7,3,481(-4),[地] 別府真司
2,3,2,2,メイショウフクジュ,牡5,56,三村展久,1:25.8,1.1/2,37.1,8,506(0),[地] 宮路洋一
3,4,6,7,マスターウィッシュ,牡7,56,永森大智,1:26.3,2.1/2,5.1,2,464(0),[地] 雑賀正光
4,5,6,8,ケイアイサンダー,セ11,56,中西達也,1:26.3,アタマ,11.6,5,480(+1),[地] 宮路洋一
5,6,3,3,ハッピールミエール,牝4,54,倉兼育康,1:26.3,クビ,81.8,10,452(+2),[地] 西山裕貴
6,7,4,4,マコーミック,牝4,51,松木大地,1:26.6,1.1/2,9.2,4,453(-7),[地] 雑賀正光
7,8,7,10,バーチャルトラック,牡8,56,西川敏弘,1:26.7,1/2,67.6,9,448(-2),[地] 大関吉明
8,9,1,1,ペプチドキングモア,牡5,56,佐原秀泰,1:27.2,2.1/2,11.8,6,495(-5),[地] 細川忠義
9,10,5,5,マルヨバナーヌ,牝4,51,塚本雄大,1:27.5,1.1/2,13.7,7,400(-7),[地] 川野勇馬
10,11,8,11,レアンデル,セ6,55,妹尾浩一,1:27.5,クビ,246.8,11,457(-4),[地] 川野勇馬
11,12,7,9,ハリマノワタリドリ,牡10,54,下村瑠衣,1:27.7,3/4,305.9,12,482(-5),[地] 西山裕貴
