,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,ストーンリバー,牡5,55,御神本訓,1:54.7,,6.5,4,501(-15),[地] 福田真広
1,2,8,10,テラザトゥモロー,牡5,55,森泰斗,1:55.0,1.1/2,2.0,1,508(-2),[地] 荒山勝徳
2,3,2,2,ミスターオーネット,牡4,55,笹川翼,1:55.1,3/4,10.6,5,455(+1),[地] 上杉昌宏
3,4,7,7,シンゼンスタチュー,セ6,57,佐藤友則,1:55.5,2,24.1,7,498(-3),[地] 秋吉和美
4,5,5,5,ショウブニデル,牡5,55,的場文男,1:55.6,3/4,4.9,2,516(+2),[地] 庄子昭彦
5,6,4,4,トルナベント,牡5,53,福原杏,1:55.7,クビ,110.7,10,457(+1),[地] 佐野謙二
6,7,1,1,サンドプラチナ,牡6,57,石崎駿,1:56.2,2.1/2,86.6,9,514(+7),[地] 市村誠
7,8,7,8,モンスターキング,セ6,56,藤田凌,1:56.5,1.3/4,5.4,3,479(-9),[地] 荒山勝徳
8,9,8,9,セイリスペクト,牡4,57,西啓太,1:57.9,7,34.7,8,480(-3),[地] 高橋清顕
9,10,6,6,リセット,牡5,55,繁田健一,1:58.5,3,23.4,6,465(-12),[地] 福永敏
