,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,9,ダブルレインボー,セ7,56,大山真吾,1:29.4,,12.1,5,488(+2),[地] 新子雅司
1,2,6,8,トップオブザロック,牡9,56,田野豊三,1:30.1,4,42.4,9,532(-1),[地] 尾林幸二
2,3,3,3,クレイアートビュン,牡9,56,永島太郎,1:30.5,2.1/2,64.1,11,459(+1),[地] 住吉朝男
3,4,8,11,アグネスイカロス,牡8,56,木村健,1:30.7,1.1/2,3.6,2,498(0),[地] 吉行龍穂
4,5,6,7,トップフィーリング,牡9,56,吉村智洋,1:30.7,クビ,9.6,4,567(+10),[地] 飯田良弘
5,6,2,2,ブリリアンストーム,牡6,56,下原理,1:30.8,クビ,27.6,8,475(+1),[地] 小牧毅
6,7,8,12,ヴィクトリーリード,牡6,56,川原正一,1:30.8,アタマ,2.4,1,510(-6),[地] 柏原誠路
7,8,4,4,メイショウマレンゴ,セ7,56,松浦聡志,1:31.1,1.1/2,4.6,3,490(+1),[地] 小牧毅
8,9,1,1,ミッキーハンター,牡8,56,田中学,1:31.1,アタマ,52.0,10,475(-4),[地] 岡田利一
9,10,5,5,モカビーン,牝5,54,坂本和也,1:31.6,3,13.5,6,475(-1),[地] 野田忍
10,11,5,6,エアガルニエ,牝7,54,瀬沢宙,1:32.0,2.1/2,119.8,12,455(+1),[地] 小村正也
11,12,7,10,ホットチリペッパー,牡6,56,寺地誠一,1:32.9,5,16.7,7,534(-2),[地] 三宅直之
