,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,4,キラットダイヤ,牝4,56,鈴木祐,1:12.3,,1.4,1.0,469(+8),[地] 板垣吉則
1,2,5,5,マルケイマーヴェル,牝4,56,山本聡哉,1:13.9,10,3.3,2.0,490(+8),[地] 石川栄
2,3,2,2,アテナリ,牝6,56,高橋悠里,1:14.1,3/4,34.0,6.0,480(+2),[地] 伊藤和忍
3,4,1,1,ボルドープリュネ,牝4,56,高松亮,1:14.1,ハナ,213.2,9.0,382(+2),[地] 板垣吉則
4,5,7,10,アドマイヤコメット,牝5,56,山本政聡,1:14.6,3,16.2,4.0,462(-2),[地] 小西重征
5,6,6,7,ネクサスエッジ,牝4,56,七夕裕次,1:14.9,2,34.8,7.0,462(+1),[地] 飯田弘道
6,7,6,8,アナト,牝4,56,坂口裕一,1:15.1,3/4,33.4,5.0,448(0),[地] 永田幸宏
7,8,8,11,ジェドゥラシャンス,牝4,54,塚本涼人,1:15.2,1/2,13.2,3.0,509(+7),[地] 酒井仁
8,9,5,6,セシール,牝4,56,岩本怜,1:15.6,2.1/2,233.8,10.0,448(0),[地] 三野宮通
9,10,8,12,マジョリティー,牝6,56,南郷家全,1:16.7,7,55.9,8.0,444(+2),[地] 高橋純
10,11,7,9,シャノンアーサー,牝3,56,小林凌,1:16.7,アタマ,294.8,11.0,456(-5),[地] 飯田弘道
11,取,3,3,ボタニーク,牝7,56,陶文峰,,,---,,計不,[地] 菅原右吉
