,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,9,ロングワンダフル,牡5,54,栗林宏,1:37.1,,---,2,518(+5),[地] 渋谷武久
1,2,8,10,デルマキングオー,牡6,53,水野貴史,1:37.2,1/2,---,1,510(+1),[地] 川嶋弘吉
2,3,7,7,ビンゴマシン,牡8,55,久保田政,1:38.1,4,---,6,460(+1),[地] 井田荘一
3,4,5,5,コウチムテキ,牡6,55,小嶋耕輝,1:38.2,クビ,---,3,482(-1),[地] 赤間亨
4,5,3,3,リュウフォワード,牡5,54,丸山弘之,1:38.4,1,---,9,436(+2),[地] 森山英雄
5,6,7,8,オキノタツナミ,牡6,54,福原好隆,1:39.1,3,---,7,508(-9),[地] 法理勝弘
6,7,4,4,ダンスカール,牡9,55,横山克彦,1:39.1,アタマ,---,8,472(+1),[地] 渋谷公男
7,8,6,6,クラージュプリンス,牡9,56,米田弘一,1:39.6,2.1/2,---,10,496(-4),[地] 瀬谷保司
8,9,1,1,アジヤフウジン,牡8,56,金井正幸,1:39.8,1,---,4,475(+10),[地] 法理勝弘
9,10,2,2,オリオンセイザ,牡7,56,工藤勉,1:40.2,2,---,5,424(0),[地] 周藤清
