,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,コアレスアミーゴ,牡5,55,的場文男,1:53.9,,3.2,1.0,476(+16),[地] 阪本泰之
1,2,7,11,リコーレッド,牡6,55,御神本訓,1:54.3,2,4.7,3.0,510(+2),[地] 池田孝
2,3,6,9,ギンザモーゼ,牡5,55,石崎駿,1:54.5,1.1/4,28.7,9.0,480(0),[地] 村上頼章
3,4,3,4,スクロヴェーニ,牝3,53,真島大輔,1:54.6,クビ,32.7,11.0,437(-1),[地] 橋本和馬
4,5,8,13,ハローキングダム,牡4,55,戸崎圭太,1:54.6,アタマ,32.6,10.0,503(0),[地] 鷹見浩
5,6,6,10,ロマ,牝4,53,鮫島克也,1:54.8,1,18.2,6.0,469(+1),[地] 阪本一栄
6,7,7,12,ニューオーザ,牡5,55,左海誠二,1:54.9,クビ,22.5,7.0,481(-4),[地] 林正人
7,8,4,6,トップフィーリング,牡6,55,山田信大,1:55.0,1/2,4.8,4.0,552(-3),[地] 渡辺和雄
8,9,5,7,イーグルビスティー,牡6,55,達城龍次,1:55.6,3,59.2,12.0,470(+1),[地] 香取和孝
9,10,8,14,ティーケーアジュデ,牝4,53,佐藤博紀,1:55.6,クビ,16.4,5.0,468(-2),[地] 栗田泰昌
10,11,1,1,ハイファイブ,牡4,55,柏木健宏,1:55.8,3/4,3.5,2.0,482(+1),[地] 沢佳宏
11,12,4,5,ハナビバーチェ,牡6,53,横川怜央,1:56.2,2,91.4,13.0,487(+1),[地] 鷹見浩
12,13,5,8,ライトハート,牝6,53,森泰斗,1:56.5,1.1/2,22.8,8.0,497(+1),[地] 蛯名雄太
13,除,2,2,アンハートフェスト,牡5,55,Ａ．ムン,,,---,,494(+3),[地] 鷹見浩
