,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,マッハタイザン,牡7,56,黒沢愛斗,1:13.5,,12.3,4,466(-4),[地] 桧森邦夫
1,2,1,1,テストマッチ,牡4,55,岩橋勇二,1:13.8,1.1/2,5.9,2,516(+2),[地] 田中淳司
2,3,8,11,リアライズナラック,牝5,54,松井伸也,1:14.1,1.1/2,255.2,12,504(0),[地] 佐久間雅
3,4,6,7,スパイア,牡4,54,宮崎光行,1:14.3,1,30.2,7,518(0),[地] 松本隆宏
4,5,5,6,アベニンプラナス,牝5,52,桑村真明,1:14.4,3/4,21.7,6,492(+2),[地] 角川秀樹
5,6,7,10,デルマジュロウジン,セ4,55,阿部龍,1:14.5,クビ,9.7,3,458(0),[地] 堂山芳則
6,7,6,8,ナモンミライ,セ6,54,服部茂史,1:14.9,2,1.3,1,460(-2),[地] 千葉津代
7,8,4,4,ビーボタンダッシュ,牡8,56,井上俊彦,1:15.0,1/2,18.0,5,508(-4),[地] 林和弘
8,9,7,9,サクラライジング,牡5,56,佐々木国,1:15.7,3,124.0,9,478(-2),[地] 林和弘
9,10,3,3,マヤノアンズ,牝8,54,小国博行,1:15.9,1,216.9,11,456(0),[地] 高橋司
10,11,8,12,ブラウンマシーン,牡5,54,坂下秀樹,1:16.6,3,98.6,8,472(-6),[地] 原孝明
11,12,2,2,ビナセブン,牝4,54,五十嵐冬,1:16.9,1.1/2,124.0,9,466(+20),[地] 桑原義光
