,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,7,タイムパラドックス,牡4,57,高田潤,1:53.8,,4.6,2,458(+16),[西] 松田博資
1,2,7,13,エスジービーム,牡3,55,幸英明,1:54.0,1.1/4,2.4,1,490(-2),[西] 藤岡範士
2,3,2,3,タイキマスカレード,牡4,57,柴田善臣,1:54.2,1.1/2,7.8,4,488(+2),[西] 伊藤雄二
3,4,2,4,バンブーテルオー,セ6,53,南井大志,1:54.2,ハナ,32.9,10,484(+10),[西] 武邦彦
4,5,6,11,スカイチェリー,牡4,57,村田一誠,1:54.5,1.3/4,25.4,7,514(+4),[西] 大根田裕
5,6,3,5,キングアカデミー,牡5,56,福永祐一,1:54.6,1/2,26.7,9,506(+8),[西] 佐山優
6,7,3,6,ウッドカッター,牡3,55,秋山真一,1:54.6,ハナ,38.4,11,482(+2),[西] 石坂正
7,8,7,14,ツルマルヒガシダケ,牡4,57,安藤勝己,1:55.2,3.1/2,26.5,8,514(+10),[西] 石坂正
8,9,5,10,シルクデスペラード,牡3,55,本田優,1:55.3,1/2,15.9,6,436(-10),[西] 田所秀孝
9,10,1,2,ケイエスブリザード,牡3,55,小林徹弥,1:55.5,1.1/4,51.6,12,552(+22),[西] 高橋成忠
10,11,8,16,カリスマシチー,牡4,57,蛯名正義,1:56.1,3.1/2,6.6,3,490(0),[西] 佐々木晶
11,12,4,8,タガノツヨシ,牡3,55,太宰啓介,1:56.2,3/4,96.7,15,458(0),[西] 川村禎彦
12,13,8,15,アドマイヤガスト,牡4,57,芹沢純一,1:56.3,クビ,214.0,16,466(+12),[西] 藤沢則雄
13,14,5,9,ビッグラムタラ,牡4,57,武豊,1:56.8,3,14.5,5,472(+2),[西] 中尾正
14,15,6,12,チハヤライデン,牡5,56,菊沢隆仁,1:57.9,7,94.7,14,498(+2),[西] 浜田光正
15,16,1,1,セルリアンアヴァン,セ4,54,柴原央明,1:58.3,2.1/2,83.0,13,492(-8),[西] 坂田正行
