,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,2,メイショウトウコン,牡5,57,武幸四郎,2:26.8,,5.6,2,448(0),[西] 安田伊佐
1,2,8,15,ワンダースピード,牡5,57,小牧太,2:26.9,1/2,31.8,11,472(+4),[西] 羽月友彦
2,3,7,14,シャーベットトーン,牡5,57,吉田豊,2:27.0,1/2,16.6,6,520(+4),[東] 奥平雅士
3,4,3,6,サカラート,牡7,57,中舘英二,2:27.0,ハナ,8.7,4,474(-4),[西] 石坂正
4,5,4,8,マイネルボウノット,牡6,57,津村明秀,2:27.0,クビ,48.2,12,522(-3),[東] 萩原清
5,6,2,3,メイショウシャフト,牡4,57,佐藤哲三,2:27.1,1/2,52.9,14,520(0),[西] 高橋成忠
6,7,7,13,ジュレップ,牡6,57,藤岡佑介,2:27.3,1.1/4,142.3,15,464(-2),[東] 小西一男
7,8,5,9,エイシンラージヒル,牡5,57,赤木高太,2:27.5,1,28.4,9,514(+14),[西] 中尾秀正
8,9,3,5,キクノアロー,牡4,58,安藤光彰,2:27.7,1.1/2,2.8,1,530(+2),[西] 目野哲也
9,10,4,7,オリンピアンナイト,牡4,57,横山典弘,2:27.8,3/4,5.8,3,512(+10),[東] 鈴木康弘
10,11,6,11,クワイエットデイ,牡7,57,角田晃一,2:28.0,1.1/4,19.0,7,496(0),[西] 松元省一
11,12,6,12,タガノサイクロン,牡4,57,岩田康誠,2:28.2,1,9.1,5,480(-4),[西] 池添兼雄
12,13,5,10,クーリンガー,牡8,57,太宰啓介,2:28.3,3/4,52.6,13,538(-2),[西] 岩元市三
13,14,8,16,アルファフォーレス,牡7,57,岩崎祐己,2:28.6,2,167.4,16,512(0),[西] 森秀行
14,15,2,4,アルドラゴン,牡6,57,石橋守,2:29.1,3,24.6,8,512(+4),[西] 昆貢
15,16,1,1,ラッキーブレイク,牡6,57,上村洋行,2:29.2,3/4,29.0,10,474(-2),[西] 音無秀孝
