,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,インフォーマー,牡3,56,酒井忍,1:33.4,,3.1,2,522(+8),[地] 深野塁
1,2,4,4,コーデュロイ,牡3,56,森泰斗,1:33.5,クビ,4.7,3,504(-5),[東] 高柳瑞樹
2,3,5,6,シャムネコ,牝3,54,増田充宏,1:34.6,5,58.8,11,394(-5),[地] 小嶋一郎
3,3,7,9,ポッドギャング,牡3,56,真島大輔,1:34.6,同着,13.4,5,475(-4),[地] 田辺陽一
4,5,7,10,ロミオ,牡3,56,的場文男,1:34.7,クビ,27.8,9,485(-1),[地] 鈴木義久
5,6,8,11,フリメール,牝3,54,大庭和弥,1:34.8,1/2,23.6,6,418(-3),[東] 畠山重則
6,7,1,1,マイネルモヒート,牡3,56,柴田大知,1:34.8,クビ,8.9,4,476(0),[東] 伊藤大士
7,8,6,8,ラクルース,牡3,56,山崎誠士,1:34.9,1/2,27.5,8,445(-11),[地] 林隆之
8,9,6,7,セイントコレクター,牡3,56,坂井英光,1:35.3,2,3.1,1,483(+3),[地] 八木仁
9,10,5,5,ドリームアスリート,牡3,56,原田和真,1:35.3,クビ,32.1,10,457(+1),[東] 根本康広
10,11,8,12,ローガンベリー,牝3,54,本橋孝太,1:35.8,2.1/2,81.1,12,444(-6),[西] 松永幹夫
11,12,3,3,ゴーナミノリ,牡3,56,杉村一樹,1:36.5,3,25.4,7,431(-3),[西] 森秀行
