,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,サンペールウルトラ,牝3,53,吉村智洋,1:52.6,,10.0,4,464(+4),[地] 大石省三
1,2,7,10,キャッチアシーフ,牝4,54,小牧毅,1:53.1,3,2.3,1,502(-1),[地] 曽和直栄
2,3,6,8,タケノプルート,牝5,54,中越豊光,1:53.2,1/2,3.9,2,484(-3),[地] 山本和之
3,4,4,4,ダイモスハーバー,牡3,55,木村健,1:53.3,3/4,10.7,5,497(+2),[地] 平松徳彦
4,5,5,6,スパイナルコード,牡3,55,大山真吾,1:53.3,ハナ,23.1,7,452(-2),[地] 斉藤裕
5,6,5,5,レッドインパルス,牝4,54,下原理,1:53.3,アタマ,116.6,10,483(0),[地] 寺嶋正勝
6,7,7,9,マイネルジーベック,牡6,55,武藤隆一,1:53.6,1.3/4,28.0,8,485(-1),[地] 松尾一幸
7,8,2,2,フォージドクレール,牝5,54,村井裕章,1:54.2,3.1/2,209.9,11,437(-3),[地] 坂井光政
8,9,8,12,ブレイブソニック,牡3,55,川原正一,1:54.2,ハナ,4.2,3,448(+4),[地] 住吉朝男
9,10,8,11,サンワードグロー,セ6,55,竹村達也,1:54.3,1/2,262.3,12,495(+2),[地] 山口浩幸
10,11,6,7,ベイリービッド,牡4,56,北野真弘,1:54.4,1/2,63.6,9,466(+7),[地] 溝橋一秀
11,12,3,3,ウインドクエスト,牡7,55,田中学,1:54.6,1.1/2,10.7,5,455(+12),[地] 重畠勝利
