,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,9,エクセレンワールド,牡4,56,宮川実,1:30.1,,9.7,3,447(-2),[地] 打越勇児
1,2,4,4,ベルヴィサージュ,牝5,54,郷間勇太,1:30.8,3,7.7,2,462(-5),[地] 別府真司
2,3,7,8,ホスト,牡7,56,永森大智,1:31.8,5,1.1,1,525(+8),[地] 雑賀正光
3,4,6,7,ケイツーミネルバ,牝6,54,石本純也,1:31.8,クビ,84.9,9,421(0),[地] 田中譲二
4,5,8,10,ピアス,牝4,54,倉兼育康,1:31.9,1/2,42.4,5,469(+1),[地] 西山裕貴
5,6,8,11,オールラウンド,牡7,56,西森将司,1:32.6,3,145.9,10,491(+8),[地] 別府真司
6,7,2,2,サウスディアマンテ,牡4,56,妹尾浩一,1:32.7,クビ,62.8,7,450(+2),[地] 工藤真司
7,8,3,3,カレンヴィットリア,牡7,56,佐原秀泰,1:32.9,1,34.8,4,466(-6),[地] 宮路洋一
8,9,5,5,リワードミニヨン,牝4,53,松木大地,1:33.7,4,83.1,8,475(+6),[地] 雑賀正光
9,10,6,6,グローリーキング,牡6,55,塚本雄大,1:34.3,3,188.6,11,464(+4),[地] 国澤輝幸
10,11,1,1,メイショウコッコ,牝5,54,岡村卓弥,1:35.4,5,61.8,6,436(+4),[地] 川野勇馬
