,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,エンタノメガミ,牝6,55,川原正一,1:29.5,,29.0,6,475(0),[地] 中塚猛
1,2,7,8,ピースプロテクター,セ7,54,平岩潤一,1:29.6,1/2,114.3,10,472(+11),[地] 平松徳彦
2,3,8,10,アイアムジャンヌ,牝5,53,松浦聡志,1:30.3,4,6.6,3,502(+5),[地] 尾林幸二
3,4,4,4,バンブーエルトリ,牡5,56,有馬澄男,1:30.3,クビ,22.4,5,457(+4),[地] 渡辺幸生
4,5,8,9,スペラーレ,牡8,55,北野真弘,1:30.5,1,37.1,8,524(-11),[地] 小牧毅
5,6,2,2,ラガーチトセオー,牡8,55,木村健,1:30.7,3/4,10.8,4,477(-1),[地] 尾林幸二
6,7,7,7,キタイセユニバース,牡4,56,下原理,1:30.8,3/4,1.6,1,428(0),[地] 松浦正勝
7,8,5,5,マグマサイン,牡10,54,大山真吾,1:30.8,ハナ,93.1,9,506(-3),[地] 田中道夫
8,9,1,1,サンペールウルトラ,牝6,52,小谷周平,1:31.0,1,34.5,7,476(-4),[地] 大石省三
9,10,6,6,コパノスケ,セ6,56,田中学,1:32.1,7,3.2,2,486(0),[地] 橋本忠男
