,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,10,ナイキアロー,牡4,57,横山典弘,1:50.7,,5.0,2,476(+28),[東] 古賀史生
1,2,6,8,マヤノライジン,牡4,57,藤田伸二,1:50.7,クビ,6.9,3,456(-6),[西] 梅内忍
2,3,8,12,ショウナンドライヴ,牡4,56,藤岡佑介,1:50.8,クビ,7.9,5,466(+6),[東] 大久保洋
3,4,7,9,レッドハヤブサ,牡6,57,木幡初広,1:51.0,1.1/4,16.2,8,460(+4),[東] 谷原義明
4,5,8,11,コウギョウマシーン,牡4,54,小島太一,1:51.2,1.1/4,69.2,11,482(+2),[東] 小島太
5,6,2,2,ヘキレキ,牡4,57,松永幹夫,1:51.2,クビ,3.6,1,494(-6),[西] 沖芳夫
6,7,5,5,プリモレディ,牝4,55,小野次郎,1:51.4,1.1/4,19.4,9,470(-2),[東] 高松邦男
7,8,5,6,ユメロマン,牡3,54,蛯名正義,1:51.5,3/4,10.7,7,464(-8),[東] 宗像義忠
8,9,1,1,コアレスウィーク,牡3,54,秋山真一,1:52.1,3.1/2,22.3,10,436(-2),[西] 湯窪幸雄
9,10,6,7,カムパネルラ,牡4,54,津村明秀,1:52.2,1/2,123.7,12,492(-8),[東] 高橋義博
10,11,3,3,エゾノシャトー,牡5,57,四位洋文,1:52.3,1/2,10.7,6,494(-10),[西] 友道康夫
11,12,4,4,レディアンスシチー,牝5,55,柴山雄一,1:52.4,3/4,7.1,4,456(-8),[東] 佐藤吉勝
