,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,リンノレジェンド,牡5,57,落合玄太,1:54.8,,3.1,2,520(+22),[地] 林和弘
1,2,8,12,クラキングス,牡7,57,宮崎光行,1:55.2,2,6.1,3,536(+4),[地] 村上正和
2,3,2,2,バンカブルスター,セ5,55,五十嵐冬,1:55.2,ハナ,29.5,10,488(-16),[地] 黒川智貴
3,4,4,4,クインズプルート,牡8,57,小野楓馬,1:55.4,3/4,2.5,1,546(+18),[地] 安田武広
4,5,7,9,サイファリス,牝5,53,服部茂史,1:55.6,1,15.0,5,446(+8),[地] 田中淳司
5,6,1,1,ソイカウボーイ,牡6,56,岩橋勇二,1:56.7,5,14.3,4,502(+10),[地] 田中淳司
6,7,6,7,クオリティスタート,牝7,55,桑村真明,1:56.7,アタマ,18.2,7,526(+4),[地] 角川秀樹
7,8,5,5,マブイーグル,牡5,56,山本咲希,1:56.7,アタマ,23.9,9,494(+21),[地] 林和弘
8,9,7,10,ステージインパクト,牡9,56,阿部龍,1:56.7,アタマ,16.5,6,524(+10),[地] 佐久間雅
9,10,8,11,バルダッサーレ,牡8,57,石川倭,1:56.8,1/2,23.5,8,510(-4),[地] 桧森邦夫
10,11,5,6,ヒルノアトラーニ,牡7,56,阪野学,1:57.1,1.1/2,81.6,11,564(+26),[地] 田中正二
11,12,6,8,ブラックスナイパー,セ8,55,亀井洋司,2:03.0,大,541.8,12,530(+33),[地] 谷口常信
