,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,フジノウェーブ,牡4,56,御神本訓,1:39.9,,1.1,1,471(-3),[地] 高橋三郎
1,2,3,3,スターオブジェンヌ,牝3,54,真島大輔,1:40.7,4,21.4,5,488(-5),[地] 阪本一栄
2,3,6,7,ワレンダーソロン,牡4,54,内田博幸,1:40.7,アタマ,12.0,3,513(+2),[地] 栗田裕光
3,4,7,10,ハイフレンドトーレ,牝7,54,山田信大,1:41.1,2,40.4,7,462(-2),[地] 栗田泰昌
4,5,5,6,ミチシオ,牡5,56,有年淳,1:41.5,2,42.3,8,504(+1),[地] 矢作和人
5,6,1,1,カネショウアトラス,牡3,56,早田秀治,1:41.6,クビ,9.4,2,443(0),[地] 高岩隆
6,7,6,8,サウンドイモン,牡4,54,坂井英光,1:42.1,2.1/2,32.1,6,472(+7),[地] 栗田裕光
7,8,8,12,カンモンカイキョウ,牡4,56,酒井忍,1:42.2,クビ,74.8,9,454(0),[地] 宮本康
8,9,2,2,スウォードクラフト,牡6,54,金子正彦,1:42.6,2,96.0,12,476(+5),[地] 冨田藤男
9,10,7,9,ガイアヘッド,牡4,56,的場文男,1:42.7,1/2,17.3,4,503(-1),[地] 上杉昌宏
10,11,4,4,クリストサファイア,牝4,54,戸崎圭太,1:43.0,1.1/2,95.7,11,430(-18),[地] 武智政明
11,12,8,11,ケイアイデジタル,牡3,56,今野忠成,1:44.3,6,76.7,10,490(-2),[地] 上杉昌宏
