,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,9,マイネルリチャード,牡4,56,赤岡修次,1:47.7,,---,1,520(+2),[地] 田中守
1,2,7,7,オウゴンスター,牡5,55,中越豊光,1:47.9,1,---,2,480(+7),[地] 雑賀正光
2,3,3,3,キングカイザー,牡9,55,上田将司,1:49.1,6,---,3,493(+4),[地] 国沢輝幸
3,4,6,6,ヒデノシーザー,牡5,55,中西達也,1:49.4,1.1/2,---,6,460(+8),[地] 別府真司
4,5,5,5,マイネルプレスト,牡7,55,堅田雅仁,1:49.8,2,---,8,505(+11),[地] 田中守
5,6,1,1,トニーファイヤー,セ11,56,西川敏弘,1:50.0,3/4,---,5,467(-6),[地] 田中譲二
6,7,8,10,ケイエスプレジャー,牡5,54,永森大智,1:50.1,1/2,---,8,514(+2),[地] 雑賀正光
7,8,4,4,マルカバリー,セ11,56,宮川実,1:50.7,3,---,4,505(+4),[地] 田中守
8,9,2,2,ヒドゥンヴァレイ,セ8,55,緒方洋介,1:51.5,4,---,7,488(+5),[地] 雑賀正光
9,10,7,8,シャーペンアイル,牡12,55,倉兼育康,1:51.6,3/4,---,8,477(+2),[地] 松下博昭
