,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,6,モンサンカノープス,牡4,57,矢野貴之,1:44.9,,1.5,1.0,528(0),[地] 川島正一
1,2,7,10,ヘレニウム,牝5,55,真島大輔,1:45.3,2,8.6,3.0,505(-4),[地] 内田勝義
2,3,8,11,ハナリュウセイ,セ4,57,今野忠成,1:45.6,1.1/2,16.6,4.0,500(-6),[東] 根本康広
3,4,2,2,ヴァルディヴィア,牡7,57,瀧川寿希,1:45.9,1.1/2,125.1,10.0,495(+2),[地] 伊藤滋規
4,5,5,5,コスモカウピリ,牡4,57,内田博幸,1:46.0,クビ,3.8,2.0,492(+4),[東] 高橋祥泰
5,6,3,3,ルミラークル,牡4,57,中野省吾,1:46.7,3,20.0,5.0,496(-2),[東] 畠山吉宏
6,7,6,7,ラブミーブルー,牝4,55,笹川翼,1:46.8,クビ,54.7,8.0,450(-4),[東] 上原博之
7,8,7,9,セイクラベ,牝5,55,武士沢友,1:47.1,1.1/2,24.9,6.0,476(-4),[東] 佐藤吉勝
8,9,6,8,ミルノワール,牝4,55,本橋孝太,1:47.9,4,31.2,7.0,481(+15),[東] 奥村武
9,10,8,12,クールアンジュ,牝4,55,町田直希,1:49.9,大,74.0,9.0,461(+3),[東] 清水英克
10,11,4,4,アルマトゥーラ,牡8,55,田中涼,1:50.3,2,213.6,11.0,471(+11),[地] 山崎尋美
11,取,1,1,ノボキャビア,牝4,55,森泰斗,,,---,,計不,[地] 高月賢一
